house,state,mp_name,constituency,vendor_name,payment_status,work_title,work_id,expenditure_date,disbursed_amount,log_amount,mean,std,state_log_deviation,vendor_count,vendor_mean,vendor_count_log,vendor_mean_ratio,anomaly_prediction,anomaly_score,is_anomaly
Lok Sabha,Uttar Pradesh,VIRENDRA SINGH,CHANDAULI,Aaradhya Enterprises,Payment Success,Lighting of public spaces,WS/MP18210/2025-2026/195532,2025-08-26,9026089.0,6.955499659597212,5.2394868954404945,0.5548947427641531,3.0925013915406194,204.0,132356.6274509804,5.3230099791384085,68.19521752579335,-1,-0.14933463209459286,True
Lok Sabha,Uttar Pradesh,ANAND BHADAURIYA,DHAURAHRA,MANNAT CONSTRUCTION,Payment Success,Lighting of public spaces,WS/MP18212/2025-2026/259219,2026-03-25,8109494.0,6.908993810371205,5.2394868954404945,0.5548947427641531,3.0086911737787023,259.0,200486.14671814672,5.560681631015528,40.449148895064184,-1,-0.14805611320281353,True
Lok Sabha,Uttar Pradesh,RAMBHUAL NISHAD,SULTANPUR,Ajay Kumar Singh,Payment Success,Street lights,WS/MP18242/2025-2026/240691,2025-12-14,5900000.0,6.770852085251372,5.2394868954404945,0.5548947427641531,2.7597399502877495,336.0,121453.13095238095,5.820082930352362,48.578410072551016,-1,-0.14775996470176278,True
Lok Sabha,Uttar Pradesh,RAMBHUAL NISHAD,SULTANPUR,Ajay Kumar Singh,Payment Success,Street lights,WS/MP18242/2024-2025/156949,2025-01-07,5900000.0,6.770852085251372,5.2394868954404945,0.5548947427641531,2.7597399502877495,336.0,121453.13095238095,5.820082930352362,48.578410072551016,-1,-0.14775996470176278,True
Rajya Sabha,Tamil Nadu,Shri R. Girirajan (2022-28) (2022-2028),,LUCKY ASSOCIATES,Payment Success,Construction of bus-sheds or bus-stops,WS/MP163/2026-2027/70361,2026-07-31,13824453.0,7.140647987754695,5.7177282197633845,0.4497060558405531,3.1641107552614733,172.0,961153.8430232558,5.153291594497779,14.383184440605215,-1,-0.1428567316595707,True
Rajya Sabha,Karnataka,Dr. Syed Naseer Hussain (2024-30) (2024-2030),,KRIDL BHUSIRI ACCOUNT WORKS,Payment Success,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18296/2024-2025/155197,2025-08-01,7500000.0,6.875061321297627,5.330132366384682,0.5548164189387811,2.784576847721975,355.0,701098.1633802817,5.87493073085203,10.69750341926361,-1,-0.14256258009563105,True
Lok Sabha,Uttar Pradesh,VIRENDRA SINGH,CHANDAULI,Aaradhya Enterprises,Payment Success,Lighting of public spaces,WS/MP18210/2025-2026/216110,2026-01-16,6034908.0,6.780670725784517,5.2394868954404945,0.5548947427641531,2.777434550319882,204.0,132356.6274509804,5.3230099791384085,45.5958127388452,-1,-0.14239844424811432,True
Lok Sabha,Madhya Pradesh,Rodmal Nagar,RAJGARH,MP Agro Biaora,Payment Success,Construction of common work sheds/ common covered sitting area,WS/	 MP443/2024-2025/138721,2024-11-12,8100000.0,6.90848507249525,5.188665529226982,0.4692888662406491,3.6647354475832645,90.0,674902.0222222222,4.51085950651685,12.001742080027354,-1,-0.141648336707202,True
Rajya Sabha,Madhya Pradesh,Dr. Kavita Patidar (2022-28) (2022-2028),,MP Agro Biaora,Payment Success,Construction of common work sheds/ common covered sitting area,WS/MP103/2025-2026/232298,2025-12-19,7650000.0,6.883661491924134,5.188665529226982,0.4692888662406491,3.611839284139264,90.0,674902.0222222222,4.51085950651685,11.334978631136945,-1,-0.141648336707202,True
Lok Sabha,Madhya Pradesh,Rodmal Nagar,RAJGARH,MP Agro Biaora,Payment Success,Construction of common work sheds/ common covered sitting area,WS/	 MP443/2024-2025/138721,2025-07-22,8076660.0,6.90723185471257,5.188665529226982,0.4692888662406491,3.6620649862260235,90.0,674902.0222222222,4.51085950651685,11.967159282478237,-1,-0.141648336707202,True
Lok Sabha,Uttar Pradesh,RAMBHUAL NISHAD,SULTANPUR,Ajay Kumar Singh,Payment Success,Street lights,WS/MP18242/2025-2026/240691,2026-03-17,4092262.0,6.611963537009418,5.2394868954404945,0.5548947427641531,2.4733999726363725,336.0,121453.13095238095,5.820082930352362,33.69416636615555,-1,-0.14014914191526295,True
Lok Sabha,Uttar Pradesh,RAMBHUAL NISHAD,SULTANPUR,Ajay Kumar Singh,Payment Success,Street lights,WS/MP18242/2024-2025/156949,2025-07-09,3951072.0,6.5967150537777,5.2394868954404945,0.5548947427641531,2.445920016427455,336.0,121453.13095238095,5.820082930352362,32.53166031223293,-1,-0.13980498666841767,True
Lok Sabha,Meghalaya,SALENG A SANGMA,TURA,Aiok M Sangma,Payment Success,Providing supply pipelines for drinking water,WS/MP18309/2024-2025/155212,2025-10-28,5500000.0,6.74036276845687,5.195006746024337,0.33394939147652103,4.627515611272441,64.0,414062.5,4.174387269895637,13.283018867924529,-1,-0.13888590366915543,True
Rajya Sabha,Madhya Pradesh,Dr. Kavita Patidar (2022-28) (2022-2028),,MP Agro Biaora,Payment Success,Construction of common work sheds/ common covered sitting area,WS/MP103/2025-2026/232298,2026-06-18,5932526.0,6.773239723446364,5.188665529226982,0.4692888662406491,3.3765433365444912,90.0,674902.0222222222,4.51085950651685,8.7902033253156,-1,-0.13855044709631248,True
Lok Sabha,Uttar Pradesh,PRIYA SAROJ,MACHHLISHAHR(SC),BHAGWATI CHAND,Payment In-Progress,Street lights,WS/MP18228/2025-2026/249977,2026-08-11,2940447.0,6.4684135035772865,5.2394868954404945,0.5548947427641531,2.2147022010246773,789.0,44727.334600760456,6.672032945461067,65.74161027583357,-1,-0.1377785798815624,True
Rajya Sabha,Uttar Pradesh,Shri Mithlesh Kumar (2022-28) (2022-2028),,HIDAYA QIRAT ENTERPRISES,Payment Success,Lighting of public spaces,WS/MP190/2024-2025/135992,2024-09-18,4860000.0,6.686636358623288,5.2394868954404945,0.5548947427641531,2.607971118944041,390.0,562991.2692307692,5.968707559985366,8.632460689204567,-1,-0.13734936231334494,True
Lok Sabha,Meghalaya,SALENG A SANGMA,TURA,Aiok M Sangma,Payment Success,Providing supply pipelines for drinking water,WS/MP18309/2024-2025/155216,2025-09-11,5000000.0,6.698970091194907,5.195006746024337,0.33394939147652103,4.5035666587711365,64.0,414062.5,4.174387269895637,12.075471698113208,-1,-0.13716952447886177,True
Lok Sabha,Uttar Pradesh,VINOD KUMAR BIND,BHADOHI,Asesar Singh Contractor,Payment Success,Lighting of public spaces,WS/MP18380/2025-2026/259001,2026-05-06,4907203.0,6.690834112644201,5.2394868954404945,0.5548947427641531,2.6155360744165006,137.0,155071.39416058394,4.927253685157205,31.644798362477825,-1,-0.13705732597602216,True
Lok Sabha,Uttar Pradesh,VIRENDRA SINGH,CHANDAULI,Aaradhya Enterprises,Payment Success,Lighting of public spaces,WS/MP18210/2025-2026/216110,2026-05-16,4672187.0,6.669520309643707,5.2394868954404945,0.5548947427641531,2.5771255411064855,204.0,132356.6274509804,5.3230099791384085,35.29998527448421,-1,-0.13688625908738872,True
Rajya Sabha,Karnataka,Shri Ajay Makan (2024-30) (2024-2030),,Kodagu Nirmithi Kendra,Payment Success,Construction of buildings for sports facilities,WS/MP18421/2026-2027/290263,2026-07-27,14925000.0,7.1739143688998634,5.330132366384682,0.5548164189387811,3.323228980933649,37.0,1192891.8918918918,3.6375861597263857,12.51161157305662,-1,-0.1359165551815822,True
