house,state,work_category,work_title,mp_name,constituency,recommended_date,sanction_date,sanction_amount,work_status,delay_days,delay_days_cleaned,delay_days_filled,log_amount,cat_amount_diff,anomaly_prediction,anomaly_score,is_anomaly
Rajya Sabha,Tamil Nadu,Normal/Others,WS/MP163/2026-2027/70361-Construction of bus-sheds or bus-stops,Shri R. Girirajan (2022-28) (2022-2028),,2023-12-27,2026-07-31,14600000.0,Physical Inspection,947,947,947,7.164352885530634,1.63103797931909,-1,-0.13826859185649687,True
Rajya Sabha,Uttar Pradesh,Normal/Others,WS/MP188/2026-2027/179557-Construction of stadiums,Shri Jayant Chaudhary (2022-28) (2022-2028),,2025-03-06,2026-07-09,19933000.0,Vendor Identification,490,490,490,7.299572688546207,1.7662577823346632,-1,-0.12193886105924434,True
Lok Sabha,West Bengal,Normal/Others,WS/MP243/2025-2026/141110-Construction of rooms and halls in school and colleges,Kakoli Ghosh Dastidar,BARASAT,2024-09-15,2025-11-25,11000000.0,Work partially Completed,436,436,436,7.04139272463954,1.5080778184279957,-1,-0.10525655024659564,True
Rajya Sabha,Tamil Nadu,Normal/Others,WS/MP166/2026-2027/134188-Construction of community centers and community halls,Shri K.R.N. Rajeshkumar (2022-28) (2022-2028),,2024-08-02,2026-08-25,5000000.0,Work partially Completed,753,753,753,6.698970091194907,1.165655184983363,-1,-0.10388259257918575,True
Lok Sabha,Assam,Normal/Others,WS/MP18019/2026-2027/139500-Construction of community centers and community halls,AMARSING TISSO,Diphu (ST),2024-09-06,2026-07-31,5000000.0,Physical Inspection,693,693,693,6.698970091194907,1.165655184983363,-1,-0.10285374990791041,True
Rajya Sabha,Uttar Pradesh,Normal/Others,WS/MP188/2025-2026/112671-Development of playground,Shri Jayant Chaudhary (2022-28) (2022-2028),,2024-02-23,2025-06-27,8416000.0,Work partially Completed,490,490,490,6.9251057784130925,1.3917908722015486,-1,-0.10251111161271531,True
Lok Sabha,Tamil Nadu,Normal/Others,WS/MP391/2025-2026/146422-Construction of buildings for sports facilities,Thiru Dayanidhi Maran,CHENNAI CENTRAL,2024-10-09,2025-12-06,10000000.0,Work Completed,423,423,423,7.000000043429446,1.466685137217902,-1,-0.10182629849685865,True
Rajya Sabha,Gujarat,Normal/Others,"WS/MP892/2025-2026/141881-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Shri S. Jaishankar (2023-29) (2023-2029),,2024-09-20,2025-09-24,17704600.0,Sanction,369,369,369,7.248086143720458,1.7147712375089137,-1,-0.09670984458695042,True
Rajya Sabha,Gujarat,Normal/Others,"WS/MP892/2025-2026/141882-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Shri S. Jaishankar (2023-29) (2023-2029),,2024-09-20,2025-09-24,17704600.0,Sanction,369,369,369,7.248086143720458,1.7147712375089137,-1,-0.09670984458695042,True
Rajya Sabha,Gujarat,Normal/Others,"WS/MP892/2025-2026/141883-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Shri S. Jaishankar (2023-29) (2023-2029),,2024-09-20,2025-09-24,17704600.0,Sanction,369,369,369,7.248086143720458,1.7147712375089137,-1,-0.09670984458695042,True
Rajya Sabha,Gujarat,Normal/Others,"WS/MP892/2025-2026/141884-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Shri S. Jaishankar (2023-29) (2023-2029),,2024-09-20,2025-09-24,17704600.0,Sanction,369,369,369,7.248086143720458,1.7147712375089137,-1,-0.09670984458695042,True
Rajya Sabha,West Bengal,Normal/Others,WS/MP18382/2026-2027/220474-Construction of culverts and bridges,Smt. Mamata Thakur (2024-30) (2024-2030),,2025-07-20,2026-07-20,13628575.0,Vendor Identification,365,365,365,7.134450480365111,1.6011355741535676,-1,-0.09636997692169247,True
Rajya Sabha,Puducherry,Normal/Others,WS/MP139/2026-2027/134712-Purchase of vans and buses for educational institutions,Shri S. Selvaganabathy (2021-27) (2021-2027),,2024-08-05,2026-06-23,4028000.0,Work partially Completed,687,687,687,6.605089569700455,1.0717746634889114,-1,-0.09297971846709197,True
Lok Sabha,Andhra Pradesh,Normal/Others,WS/MP18008/2026-2027/166546-Construction of community centers and community halls,Dr Chandra Sekhar Pemmasani,GUNTUR,2025-01-19,2026-07-09,5000000.0,Vendor Identification,536,536,536,6.698970091194907,1.165655184983363,-1,-0.09297971846709197,True
Lok Sabha,Tamil Nadu,Normal/Others,"WS/MP459/2025-2026/149089-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",T Sumathy (A) Thamizhachi Thangapandian,CHENNAI SOUTH,2024-10-23,2025-10-14,12000000.0,Work Completed,356,356,356,7.07918128223883,1.545866376027286,-1,-0.09297971846709197,True
Rajya Sabha,Kerala,Normal/Others,WS/MP094/2025-2026/178989-Construction of community centers and community halls,Dr. V. Sivadasan (2021-27) (2021-2027),,2025-03-04,2026-02-11,30000000.0,Sanction,344,344,344,7.477121269196145,1.943806362984601,-1,-0.09223341350702619,True
Rajya Sabha,Kerala,Normal/Others,WS/MP094/2025-2026/178990-Construction of rooms and halls in school and colleges,Dr. V. Sivadasan (2021-27) (2021-2027),,2025-03-04,2026-02-11,18600000.0,Sanction,344,344,344,7.269512967567081,1.7361980613555374,-1,-0.09189556451447123,True
Lok Sabha,Tamil Nadu,Normal/Others,WS/MP745/2025-2026/144827-Construction of community centers and community halls,K Subbarayan,TIRUPPUR,2024-09-30,2026-02-20,5295000.0,Work Completed,508,508,508,6.723866046463228,1.1905511402516842,-1,-0.09162789105996894,True
Rajya Sabha,Puducherry,Normal/Others,"WS/MP139/2025-2026/136799-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Shri S. Selvaganabathy (2021-27) (2021-2027),,2024-08-23,2026-01-12,5300000.0,Sanction,507,507,507,6.724275951543136,1.1909610453315924,-1,-0.09061561990079303,True
Lok Sabha,Maharashtra,Normal/Others,WS/MP18307/2025-2026/143526-Construction of rooms and halls in school and colleges,Piyush Vedprakash Goyal,MUMBAI NORTH,2024-09-25,2026-03-25,4500000.0,Sanction,546,546,546,6.653212610285218,1.119897704073674,-1,-0.08926805402608773,True
Rajya Sabha,Assam,Normal/Others,WS/MP071/2026-2027/168285-Forest conservation infrastructure,Shri Pabitra Margherita (2022-28) (2022-2028),,2025-01-23,2026-07-13,4500000.0,Sanction,536,536,536,6.653212610285218,1.119897704073674,-1,-0.08893154227968536,True
Lok Sabha,West Bengal,Normal/Others,WS/MP827/2025-2026/152381-Construction of community centers and community halls,Shatrughan Sinha,ASANSOL,2024-11-14,2026-02-06,6000000.0,Sanction,449,449,449,6.7781513227660515,1.2448364165545076,-1,-0.08758701212924247,True
Lok Sabha,West Bengal,Normal/Others,WS/MP827/2025-2026/152382-Construction of community centers and community halls,Shatrughan Sinha,ASANSOL,2024-11-14,2026-02-06,6000000.0,Sanction,449,449,449,6.7781513227660515,1.2448364165545076,-1,-0.08758701212924247,True
Rajya Sabha,Uttar Pradesh,Normal/Others,WS/MP188/2025-2026/180182-Development of playfields and sports grounds,Shri Jayant Chaudhary (2022-28) (2022-2028),,2025-03-08,2026-01-13,25400000.0,Sanction,311,311,311,7.404833733718146,1.871518827506602,-1,-0.08666642553619386,True
Rajya Sabha,Kerala,Normal/Others,"WS/MP18405/2026-2027/156771-Construction of roads, link roads, pathways or any other road with or without drainage system",Shri P. P. Suneer (2024-30) (2024-2030),,2025-01-05,2026-08-11,4000000.0,Sanction,583,583,583,6.6020600999015695,1.0687451936900256,-1,-0.08658020527892696,True
