state,mp_name,constituency,allocated_amount,house,source_file,election_type
Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,190289442.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jammu And Kashmir,ABDUL RASHID SHEIKH,BARAMULLAH,154773472.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,ABHAY KUMAR SINHA,AURANGABAD_BR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,ABHIJIT GANGOPADHYAY,TAMLUK,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Abu Taher Khan,MURSHIDABAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,ADHIKARI SOUMENDU,KANTHI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,ADITYA YADAV,BADAUN,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,Adv Adoor Prakash,ATTINGAL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,Adv Dean Kuriakose,IDUKKI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),147816309.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,ADV K FRANCIS GEORGE,KOTTAYAM,188722256.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jammu And Kashmir,AGA SYED RUHULLAH MEHDI,SRINAGAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttarakhand,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Ajay Kumar Mandal,BHAGALPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttarakhand,Ajay Tamta,ALMORA(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,AJENDRA SINGH LODHI,HAMIRPUR_UP,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,AKHILESH YADAV,KANNAUJ,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,AKSHAYA YADAV,FIROZABAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Manipur,ALFRED KANNGAM S ARTHUR,OUTER MANIPUR(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Alok Kumar Suman,GOPALGANJ (SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,ALOK SHARMA,BHOPAL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,AMAR SHARADRAO KALE,WARDHA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Assam,AMARSING TISSO,Diphu (ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,201899064.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Amol Ramsing Kolhe,SHIRUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,AMRARAM,SIKAR,165691544.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Punjab,AMRINDER SINGH RAJA WARRING,LUDHIANA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,ANAND BHADAURIYA,DHAURAHRA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,ANAND KUMAR,BAHRAICH(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,ANANTA NAYAK,KEONJHAR(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,Andimuthu Raja,NILGIRIS(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Meghalaya,ANDREW J. SYNGKON,SHILLONG,98000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Manipur,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttarakhand,ANIL BALUNI,GARHWAL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,ANIL YESHWANT DESAI,MUMBAI SOUTH CENTRAL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,RATLAM(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,ANITA SUBHADARSHINI,ASKA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jharkhand,Annpurna Devi,KODARMA,166665931.8,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,ANOOP PRADHAN BALMIKI,HATHRAS (SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,Anto Antony,PATHANAMTHITTA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,ANUP SANJAY DHOTRE,AKOLA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Anurag Sharma,JHANSI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Himachal Pradesh,Anurag Singh Thakur,HAMIRPUR_HP,149570117.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Appalanaidu Kalisetti,VIZIANAGARAM,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,ARUN BHARTI,JAMUI(SC),194924621.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,ARUN GOVIL,MEERUT,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,ARUN NEHRU,PERAMBALUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,ARUNA. D. K,MAHABUBNAGAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,ARUP CHAKRABORTY,BANKURA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Arvind Ganpat Sawant,MUMBAI SOUTH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,Asaduddin Owaisi,HYDERABAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,ASHISH DUBEY,JABALPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Ashok Kumar Rawat,MISRIKH(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Ashok Kumar Yadav,MADHUBANI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.7,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,ATUL GARG,GHAZIABAD,155336470.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,AVIMANYU SETHI,BHADRAK(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,AWADHESH PRASAD,FAIZABAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,AZAD KIRTI JHA,BARDHAMAN-DURGAPUR,179658400.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,B K PARTHASARATHI,HINDUPUR,160491894.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,BABU SINGH KUSHWAHA,JAUNPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,BACHHAV SHOBHA DINESH,DHULE,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,BAG MITALI,ARAMBAG(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,BAIJAYANT PANDA,KENDRAPARA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,BAJRANG MANOHAR SONWANE,BEED,165899107.2,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,BALABHADRA MAJHI,NABARANGPUR(ST),147413962.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Balashowry Vallabbhaneni,MACHILIPATNAM,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,BALRAM NAIK PORIKA,MAHABUBABAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,BALWANT BASWANT WANKHADE,AMRAVATI(SC),198293678.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,BALYA MAMA SURESH GOPINATH MHATRE,BHIWANDI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Delhi,Bansuri Swaraj,NEW DELHI,154306950.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,BAPI HALDAR,MATHURAPUR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,BASAVARAJ BOMMAI,HAVERI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,BASTIPATI NAGARAJU PANCHALINGALA,KURNOOL,159998515.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,Bhagirath Chaudhary,AJMER,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
