calamity_type,calamity_name,mp_name,consent_date,consent_amount,house,source_file,constituency,election_type
National Calamity,Flood 2025 in Punjab,Shri Gurjeet Singh Aujla,2025-12-07,7067400,Lok Sabha,Amount consented for Calamity (2).csv,,
National Calamity,Flood 2025 in Punjab,GURMEET SINGH MEET HAYER,2025-11-03,7500000,Lok Sabha,Amount consented for Calamity (2).csv,,
National Calamity,Flood 2025 in Punjab,Shri Jual Oram,2025-10-10,10000000,Lok Sabha,Amount consented for Calamity (2).csv,,
National Calamity,Andhra Pradesh rainfall and consequent floods - 2024,Krishna Prasad Tenneti,2025-03-26,1000000,Lok Sabha,Amount consented for Calamity (2).csv,,
National Calamity,Meppadi landslides 2024,SHAFI PARAMBIL,2025-03-02,2500000,Lok Sabha,Amount consented for Calamity (2).csv,,
State Calamity,Vilangad Landslides 2024,SHAFI PARAMBIL,2025-03-01,2500000,Lok Sabha,Amount consented for Calamity (2).csv,,
National Calamity,Meppadi landslides 2024,DR C N MANJUNATH,2025-02-17,500000,Lok Sabha,Amount consented for Calamity (2).csv,,
National Calamity,Meppadi landslides 2024,Andimuthu Raja,2025-02-05,2500000,Lok Sabha,Amount consented for Calamity (2).csv,,
State Calamity,Wayanad landslides 2024,Shri NK Premachandran,2024-12-07,1000000,Lok Sabha,Amount consented for Calamity (2).csv,,
State Calamity,Vilangad Landslides 2024,Shri NK Premachandran,2024-12-07,1000000,Lok Sabha,Amount consented for Calamity (2).csv,,
State Calamity,Wayanad landslides 2024,K RADHAKRISHNAN,2024-12-04,2500000,Lok Sabha,Amount consented for Calamity (2).csv,,
State Calamity,Natural Calamity Affected Area,BIPLAB KUMAR DEB,2024-09-03,2500000,Lok Sabha,Amount consented for Calamity (2).csv,,
,,,,40567400,Lok Sabha,Amount consented for Calamity (2).csv,,
National Calamity,Flood 2025 in Punjab,Shri Hardeep Singh Puri (2020-26) (2020-2026),2025-11-17,10000000,Rajya Sabha,Amount consented for Calamity (3).csv,,
National Calamity,Flood 2025 in Punjab,Dr. Ashok Kumar Mittal (2022-28) (2022-2028),2025-11-04,10000000,Rajya Sabha,Amount consented for Calamity (3).csv,,
National Calamity,Flood 2025 in Punjab,Shri Narain Dass Gupta (2024-30) (2024-2030),2025-11-03,7500000,Rajya Sabha,Amount consented for Calamity (3).csv,,
National Calamity,Flood 2025 in Punjab,Shri Sanjay Singh (2024-30) (2024-2030),2025-11-03,10000000,Rajya Sabha,Amount consented for Calamity (3).csv,,
National Calamity,Flood 2025 in Punjab,Shri Harbhajan Singh (2022-28) (2022-2028),2025-11-03,10000000,Rajya Sabha,Amount consented for Calamity (3).csv,,
National Calamity,Flood 2025 in Punjab,Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),2025-10-29,10000000,Rajya Sabha,Amount consented for Calamity (3).csv,,
National Calamity,Flood 2025 in Punjab,Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),2025-10-07,2500000,Rajya Sabha,Amount consented for Calamity (3).csv,,
National Calamity,Flood 2025 in Punjab,Shri Narain Dass Gupta (2024-30) (2024-2030),2025-10-06,2500000,Rajya Sabha,Amount consented for Calamity (3).csv,,
National Calamity,Flood 2025 in Punjab,Dr. Vikramjit Singh Sahney (2022-28) (2022-2028),2025-09-19,10000000,Rajya Sabha,Amount consented for Calamity (3).csv,,
National Calamity,Meppadi landslides 2024,Shri P. P. Suneer (2024-30) (2024-2030),2025-04-21,7500000,Rajya Sabha,Amount consented for Calamity (3).csv,,
National Calamity,Meppadi landslides 2024,Dr. John Brittas (2021-27) (2021-2027),2025-02-17,7500000,Rajya Sabha,Amount consented for Calamity (3).csv,,
National Calamity,Meppadi landslides 2024,Shri P. P. Suneer (2024-30) (2024-2030),2025-02-03,2500000,Rajya Sabha,Amount consented for Calamity (3).csv,,
State Calamity,Vilangad Landslides 2024,Shri Abdul Wahab (2021-27) (2021-2027),2024-12-08,1000000,Rajya Sabha,Amount consented for Calamity (3).csv,,
State Calamity,Wayanad landslides 2024,Smt. P. T. Usha (2022-28) (2022-2028),2024-12-07,500000,Rajya Sabha,Amount consented for Calamity (3).csv,,
State Calamity,Vilangad Landslides 2024,Smt. P. T. Usha (2022-28) (2022-2028),2024-12-07,500000,Rajya Sabha,Amount consented for Calamity (3).csv,,
State Calamity,Wayanad landslides 2024,Dr. V. Sivadasan (2021-27) (2021-2027),2024-12-04,2500000,Rajya Sabha,Amount consented for Calamity (3).csv,,
State Calamity,Wayanad landslides 2024,Shri A. A. Rahim (2022-28) (2022-2028),2024-12-04,2500000,Rajya Sabha,Amount consented for Calamity (3).csv,,
State Calamity,Wayanad landslides 2024,Shri Jose K. Mani (2024-30) (2024-2030),2024-11-25,2500000,Rajya Sabha,Amount consented for Calamity (3).csv,,
State Calamity,Wayanad landslides 2024,Shri Sandosh Kumar P (2022-28) (2022-2028),2024-10-17,2500000,Rajya Sabha,Amount consented for Calamity (3).csv,,
State Calamity,Wayanad landslides 2024,Dr. John Brittas (2021-27) (2021-2027),2024-09-10,2500000,Rajya Sabha,Amount consented for Calamity (3).csv,,
,,,,104500000,Rajya Sabha,Amount consented for Calamity (3).csv,,
