state,constituency,mp_name,work_title,completion_date,work_status,house,source_file,election_type
Madhya Pradesh,Constituency_371,MP_Name_371,MP/337/2021-2022/3058 - Construction of Health facility,2021-03-01,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_444,MP_Name_444,UP/590/2022-2023/3471 - Construction of Health facility,2021-02-02,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_175,MP_Name_175,RJ/839/2023-2024/1982 - Construction of Education facility,2021-03-26,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_323,MP_Name_323,UP/958/2023-2024/2813 - Construction of Sanitation facility,2022-10-03,Completed,Lok Sabha,Works Completed_2024.csv,
Delhi,Constituency_238,MP_Name_238,DL/796/2022-2023/2360 - Construction of Health facility,2022-01-13,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_270,MP_Name_270,KA/472/2022-2023/2521 - Construction of Education facility,2022-01-03,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_413,MP_Name_413,UP/910/2021-2022/3299 - Construction of Electricity facility,2021-03-04,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_348,MP_Name_348,RJ/182/2023-2024/2951 - Construction of Drinking Water facility,2023-12-25,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_2,MP_Name_2,UP/250/2021-2022/1012 - Construction of Sanitation facility,2023-12-14,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_325,MP_Name_325,BR/810/2022-2023/2826 - Construction of Sanitation facility,2022-10-20,Completed,Lok Sabha,Works Completed_2024.csv,
Delhi,Constituency_485,MP_Name_485,DL/980/2021-2022/3688 - Construction of Sanitation facility,2023-09-19,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_332,MP_Name_332,RJ/768/2022-2023/2864 - Construction of Health facility,2023-12-31,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_3,MP_Name_3,KA/524/2022-2023/1018 - Construction of Electricity facility,2024-01-11,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_529,MP_Name_529,MH/459/2023-2024/3947 - Construction of Sanitation facility,2023-09-19,Completed,Lok Sabha,Works Completed_2024.csv,
Karnataka,Constituency_37,MP_Name_37,KA/771/2021-2022/1194 - Construction of Sanitation facility,2024-03-26,Completed,Lok Sabha,Works Completed_2024.csv,
Gujarat,Constituency_25,MP_Name_25,GJ/295/2022-2023/1131 - Construction of Roads facility,2021-10-22,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_343,MP_Name_343,UP/227/2022-2023/2926 - Construction of Health facility,2023-06-25,Completed,Lok Sabha,Works Completed_2024.csv,
Maharashtra,Constituency_481,MP_Name_481,MH/946/2023-2024/3667 - Construction of Roads facility,2022-07-05,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_120,MP_Name_120,WB/815/2022-2023/1667 - Construction of Drinking Water facility,2021-08-09,Completed,Lok Sabha,Works Completed_2024.csv,
Delhi,Constituency_124,MP_Name_124,DL/359/2021-2022/1691 - Construction of Electricity facility,2022-04-01,Completed,Lok Sabha,Works Completed_2024.csv,
Bihar,Constituency_65,MP_Name_65,BR/236/2022-2023/1360 - Construction of Education facility,2021-03-04,Completed,Lok Sabha,Works Completed_2024.csv,
Uttar Pradesh,Constituency_92,MP_Name_92,UP/659/2022-2023/1511 - Construction of Health facility,2022-05-02,Completed,Lok Sabha,Works Completed_2024.csv,
West Bengal,Constituency_419,MP_Name_419,WB/876/2022-2023/3331 - Construction of Electricity facility,2023-12-11,Completed,Lok Sabha,Works Completed_2024.csv,
Rajasthan,Constituency_165,MP_Name_165,RJ/618/2023-2024/1921 - Construction of Education facility,2024-02-26,Completed,Lok Sabha,Works Completed_2024.csv,
Tamil Nadu,Constituency_191,MP_Name_191,TN/905/2023-2024/2082 - Construction of Electricity facility,2023-03-01,Completed,Lok Sabha,Works Completed_2024.csv,
