project_id,work_title,work_category,state,district,constituency,mp_name,house,recommended_date,sanction_date,sanction_amount,work_status,total_expenditure,transaction_count,primary_vendor,is_completed,completion_date,project_name,delay_days,delay_days_filled,completion_duration_days,utilisation_percentage,expenditure_to_sanction_ratio,log_sanction_amount,log_expenditure,peer_median_sanction,peer_mean_sanction,peer_p90_sanction,peer_median_delay,peer_p90_delay,peer_median_util,peer_project_count,peer_sanction_percentile,peer_dev_ratio,anomaly_pred,anomaly_score,anomaly_flag,risk_level,priority_score,priority_rank,primary_reason,primary_type,anomaly_reasons_json
MP/918/2021-2022/1007,MP/918/2021-2022/1007 - Construction of Roads facility,Electricity,Madhya Pradesh,District_C,Constituency_1,MP_Name_1,Lok Sabha,,2022-08-24,458988,Sanctioned,1181468.0,4,State PWD,1,2024-07-08,2022/1007 - Construction of Roads facility,,,684.0,257.41,2.5741,5.661802277483785,6.072422330872692,1008066.0,1094618.961038961,1732363.0000000002,,,50.24,77,11.7,0.1629571327221827,-1,-0.0302,True,HIGH,56,48,Cumulative expenditure exceeds original sanctioned allocation by 157.4%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 157.4%."", ""evidence"": ""Disbursed \u20b91,181,468 against Sanction \u20b9458,988""}]"
UP/653/2021-2022/1013,UP/653/2021-2022/1013 - Construction of Sanitation facility,Education,Uttar Pradesh,District_C,Constituency_2,MP_Name_2,Lok Sabha,,2021-12-20,432684,Sanctioned,771144.0,4,Shree Constructions,1,2022-12-01,2022/1013 - Construction of Sanitation facility,,,346.0,178.22,1.7822,5.636171839663374,5.887136047025096,1268756.5,1190031.2741935484,1760134.5999999999,,,53.435,62,3.2,0.12743848605109018,-1,-0.0162,True,MEDIUM,44,107,Cumulative expenditure exceeds original sanctioned allocation by 78.2%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 78.2%."", ""evidence"": ""Disbursed \u20b9771,144 against Sanction \u20b9432,684""}]"
WB/424/2022-2023/1091,WB/424/2022-2023/1091 - Construction of Education facility,Health,West Bengal,District_B,Constituency_17,MP_Name_17,Lok Sabha,,2024-09-25,414874,Sanctioned,470354.0,1,National Infra Corp,1,2021-08-07,2023/1091 - Construction of Education facility,,,,113.37,1.1337,5.6179172654166605,5.672425765052497,1105582.0,1130127.4382022473,1756545.4,,,58.46,89,2.2,0.13838289741842086,-1,-0.004,True,LOW,19,182,"Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions.",MULTIVARIATE_ISOLATION,"[{""type"": ""MULTIVARIATE_ISOLATION"", ""feature"": ""isolation_forest"", ""severity"": ""LOW"", ""message"": ""Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions."", ""evidence"": ""Isolation Forest Score: -0.0040""}]"
TN/799/2023-2024/1205,TN/799/2023-2024/1205 - Construction of Education facility,Sanitation,Tamil Nadu,District_A,Constituency_38,MP_Name_38,Lok Sabha,,2021-08-13,408624,Sanctioned,107931.0,1,Global Infra Ltd,1,2021-04-17,2024/1205 - Construction of Education facility,,,,26.41,0.2641,5.611324933588425,5.033150224692573,1125948.0,1110292.626506024,1685270.5999999999,,,52.21,83,2.4,0.13446893591958006,-1,-0.0502,True,HIGH,40,129,"Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions.",MULTIVARIATE_ISOLATION,"[{""type"": ""MULTIVARIATE_ISOLATION"", ""feature"": ""isolation_forest"", ""severity"": ""LOW"", ""message"": ""Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions."", ""evidence"": ""Isolation Forest Score: -0.0502""}]"
KA/693/2023-2024/1333,KA/693/2023-2024/1333 - Construction of Sanitation facility,Electricity,Karnataka,District_B,Constituency_60,MP_Name_60,Lok Sabha,,2022-10-06,491994,Sanctioned,1222130.0,4,Shree Constructions,1,2022-03-16,2024/1333 - Construction of Sanitation facility,,,,248.4,2.484,5.691960689183126,6.087117760348326,1031183.0,1080220.3195876288,1676158.2000000002,,,62.2,97,5.2,0.16941462857498482,-1,-0.0223,True,MEDIUM,45,96,Cumulative expenditure exceeds original sanctioned allocation by 148.4%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 148.4%."", ""evidence"": ""Disbursed \u20b91,222,130 against Sanction \u20b9491,994""}]"
DL/725/2022-2023/1439,DL/725/2022-2023/1439 - Construction of Drinking Water facility,Education,Delhi,District_B,Constituency_79,MP_Name_79,Lok Sabha,,2022-10-21,609260,Sanctioned,1600307.0,4,State PWD,1,2023-01-19,2023/1439 - Construction of Drinking Water facility,,,90.0,262.66,2.6266,5.78480337896661,6.204203576298061,1154756.0,1129067.0,1764852.2,,,70.47,63,23.8,0.18401229248052423,-1,-0.0362,True,HIGH,58,40,Cumulative expenditure exceeds original sanctioned allocation by 162.7%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 162.7%."", ""evidence"": ""Disbursed \u20b91,600,307 against Sanction \u20b9609,260""}]"
UP/659/2022-2023/1511,UP/659/2022-2023/1511 - Construction of Health facility,Electricity,Uttar Pradesh,District_D,Constituency_92,MP_Name_92,Lok Sabha,,2024-01-07,1884831,Sanctioned,180787.0,1,National Infra Corp,1,2022-05-02,2023/1511 - Construction of Health facility,,,,9.59,0.0959,6.275272646465161,5.257169600327732,1034349.5,1085939.6785714286,1610759.0,,,62.375,56,100.0,0.450593640448246,-1,-0.0314,True,HIGH,74,1,Sanction amount is higher than 100.0% of comparable Electricity projects in Uttar Pradesh.,HIGH_SANCTION_OUTLIER,"[{""type"": ""HIGH_SANCTION_OUTLIER"", ""feature"": ""sanction_amount"", ""severity"": ""CRITICAL"", ""message"": ""Sanction amount is higher than 100.0% of comparable Electricity projects in Uttar Pradesh."", ""evidence"": ""Project: \u20b91,884,831 | Peer Group Median: \u20b91,034,350""}]"
KA/551/2023-2024/1587,KA/551/2023-2024/1587 - Construction of Health facility,Health,Karnataka,District_A,Constituency_106,MP_Name_106,Lok Sabha,,2022-11-21,771311,Sanctioned,1745123.0,4,XYZ Builders,1,2022-10-17,2024/1587 - Construction of Health facility,,,,226.25,2.2625,5.887230088128039,6.241826291239303,1217935.5,1174330.891304348,1746386.7,,,54.315,92,28.3,0.2130643132751604,-1,-0.0026,True,LOW,38,143,Cumulative expenditure exceeds original sanctioned allocation by 126.2%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 126.2%."", ""evidence"": ""Disbursed \u20b91,745,123 against Sanction \u20b9771,311""}]"
WB/418/2023-2024/1605,WB/418/2023-2024/1605 - Construction of Electricity facility,Education,West Bengal,District_A,Constituency_109,MP_Name_109,Lok Sabha,,2022-02-10,416426,Sanctioned,240847.0,1,National Infra Corp,1,2024-05-25,2024/1605 - Construction of Electricity facility,,,835.0,57.84,0.5784,5.619538880230582,5.38174304428728,1158595.5,1144561.7972972973,1764686.7,,,49.379999999999995,74,2.7,0.1333546491886172,-1,-0.0305,True,HIGH,40,129,"Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions.",MULTIVARIATE_ISOLATION,"[{""type"": ""MULTIVARIATE_ISOLATION"", ""feature"": ""isolation_forest"", ""severity"": ""LOW"", ""message"": ""Statistically unusual combination of expenditure pace, project size, and sanction latency across multiple feature dimensions."", ""evidence"": ""Isolation Forest Score: -0.0305""}]"
KA/216/2021-2022/1729,KA/216/2021-2022/1729 - Construction of Education facility,Sanitation,Karnataka,District_A,Constituency_132,MP_Name_132,Lok Sabha,,2023-11-15,436259,Sanctioned,1165188.0,4,XYZ Builders,1,2023-03-15,2022/1729 - Construction of Education facility,,,,267.09,2.6709,5.639745395027509,6.066396376005534,1152765.5,1147459.4803921569,1753699.5,,,59.095,102,1.0,0.13938962290386578,-1,-0.0482,True,HIGH,55,63,Cumulative expenditure exceeds original sanctioned allocation by 167.1%.,EXCESS_EXPENDITURE,"[{""type"": ""EXCESS_EXPENDITURE"", ""feature"": ""utilisation_percentage"", ""severity"": ""HIGH"", ""message"": ""Cumulative expenditure exceeds original sanctioned allocation by 167.1%."", ""evidence"": ""Disbursed \u20b91,165,188 against Sanction \u20b9436,259""}]"
