Sr_No,state,constituency,Hon'ble Members of Parliament,allocated_amount
1,Tamil Nadu,Constituency_1,MP_Name_1,31794052
2,Delhi,Constituency_2,MP_Name_2,39008585
3,Delhi,Constituency_3,MP_Name_3,32926332
4,Karnataka,Constituency_4,MP_Name_4,46884883
5,Delhi,Constituency_5,MP_Name_5,49702198
6,Gujarat,Constituency_6,MP_Name_6,47354259
7,Gujarat,Constituency_7,MP_Name_7,46217364
8,Uttar Pradesh,Constituency_8,MP_Name_8,43866662
9,Tamil Nadu,Constituency_9,MP_Name_9,35705881
10,Delhi,Constituency_10,MP_Name_10,34559825
11,Maharashtra,Constituency_11,MP_Name_11,27489665
12,Maharashtra,Constituency_12,MP_Name_12,46967142
13,Tamil Nadu,Constituency_13,MP_Name_13,42321658
14,Karnataka,Constituency_14,MP_Name_14,39014189
15,Maharashtra,Constituency_15,MP_Name_15,27906534
16,Maharashtra,Constituency_16,MP_Name_16,34587802
17,Gujarat,Constituency_17,MP_Name_17,21027309
18,Tamil Nadu,Constituency_18,MP_Name_18,43441110
19,Uttar Pradesh,Constituency_19,MP_Name_19,42120256
20,Maharashtra,Constituency_20,MP_Name_20,30731447
21,Delhi,Constituency_21,MP_Name_21,32628660
22,Uttar Pradesh,Constituency_22,MP_Name_22,43447881
23,Maharashtra,Constituency_23,MP_Name_23,33385689
24,Uttar Pradesh,Constituency_24,MP_Name_24,26491338
25,Tamil Nadu,Constituency_25,MP_Name_25,30993136
26,Maharashtra,Constituency_26,MP_Name_26,25188890
27,Maharashtra,Constituency_27,MP_Name_27,39864160
28,Tamil Nadu,Constituency_28,MP_Name_28,39015356
29,Karnataka,Constituency_29,MP_Name_29,22642440
30,Delhi,Constituency_30,MP_Name_30,44635263
31,Tamil Nadu,Constituency_31,MP_Name_31,24710300
32,Delhi,Constituency_32,MP_Name_32,24858380
33,Uttar Pradesh,Constituency_33,MP_Name_33,33732746
34,Tamil Nadu,Constituency_34,MP_Name_34,44833824
35,Maharashtra,Constituency_35,MP_Name_35,25524188
36,Gujarat,Constituency_36,MP_Name_36,34548931
37,Maharashtra,Constituency_37,MP_Name_37,24455973
38,Gujarat,Constituency_38,MP_Name_38,33809022
39,Gujarat,Constituency_39,MP_Name_39,36286677
