Sr_No,state,calamity_type,calamity_name,date_of_consent,consent_amount
1,Karnataka,Natural,Flood Relief,13-12-2023,4273760
2,Maharashtra,Natural,Flood Relief,30-06-2021,2863699
3,Gujarat,Natural,Flood Relief,11-10-2023,2531051
4,Tamil Nadu,Natural,Flood Relief,05-04-2021,2410436
5,Karnataka,Natural,Flood Relief,28-10-2021,1263780
6,Gujarat,Natural,Flood Relief,07-05-2021,1604647
7,Karnataka,Natural,Flood Relief,20-12-2021,1284564
8,Karnataka,Natural,Flood Relief,10-08-2021,4179971
9,Delhi,Natural,Flood Relief,04-06-2022,2129640
10,Karnataka,Natural,Flood Relief,04-04-2021,1187598
11,Maharashtra,Natural,Flood Relief,15-05-2022,4173402
12,Gujarat,Natural,Flood Relief,26-08-2023,1514717
13,Karnataka,Natural,Flood Relief,27-02-2021,4152521
14,Uttar Pradesh,Natural,Flood Relief,17-04-2022,2110304
15,Karnataka,Natural,Flood Relief,20-02-2021,3129693
16,Delhi,Natural,Flood Relief,01-11-2021,4437624
17,Tamil Nadu,Natural,Flood Relief,16-12-2023,1982599
18,Gujarat,Natural,Flood Relief,09-01-2022,1536609
19,Uttar Pradesh,Natural,Flood Relief,23-05-2021,4174608
