sr_no,state,constituency,mp_name,work,vendor_name,expenditure_date,fund_disbursed_amount
1,Madhya Pradesh,Constituency_1,MP_Name_1,MP/388/2023-2024/1001 - Construction of Roads facility,Shree Constructions,03-10-2023,124558
2,Madhya Pradesh,Constituency_1,MP_Name_1,MP/388/2023-2024/1001 - Construction of Roads facility,National Infra Corp,02-08-2021,316992
3,Madhya Pradesh,Constituency_1,MP_Name_1,MP/388/2023-2024/1001 - Construction of Roads facility,Global Infra Ltd,05-11-2021,267177
4,Madhya Pradesh,Constituency_1,MP_Name_1,MP/388/2023-2024/1001 - Construction of Roads facility,ABC Constructions,11-11-2024,239410
5,Madhya Pradesh,Constituency_1,MP_Name_1,MP/913/2021-2022/1002 - Construction of Roads facility,Shree Constructions,06-06-2023,266268
6,Madhya Pradesh,Constituency_1,MP_Name_1,MP/913/2021-2022/1002 - Construction of Roads facility,XYZ Builders,25-01-2022,289901
7,Madhya Pradesh,Constituency_1,MP_Name_1,MP/875/2022-2023/1003 - Construction of Sanitation facility,Shree Constructions,28-10-2022,204146
8,Madhya Pradesh,Constituency_1,MP_Name_1,MP/875/2022-2023/1003 - Construction of Sanitation facility,State PWD,28-04-2022,372807
9,Madhya Pradesh,Constituency_1,MP_Name_1,MP/875/2022-2023/1003 - Construction of Sanitation facility,XYZ Builders,07-06-2024,121327
10,Madhya Pradesh,Constituency_1,MP_Name_1,MP/875/2022-2023/1003 - Construction of Sanitation facility,National Infra Corp,07-10-2021,286182
11,Madhya Pradesh,Constituency_1,MP_Name_1,MP/848/2021-2022/1004 - Construction of Education facility,State PWD,20-04-2024,392100
12,Madhya Pradesh,Constituency_1,MP_Name_1,MP/230/2022-2023/1005 - Construction of Health facility,XYZ Builders,11-03-2022,377170
13,Madhya Pradesh,Constituency_1,MP_Name_1,MP/464/2021-2022/1006 - Construction of Sanitation facility,XYZ Builders,21-08-2024,288924
14,Madhya Pradesh,Constituency_1,MP_Name_1,MP/918/2021-2022/1007 - Construction of Roads facility,Shree Constructions,22-02-2023,241991
15,Madhya Pradesh,Constituency_1,MP_Name_1,MP/918/2021-2022/1007 - Construction of Roads facility,Global Infra Ltd,17-01-2022,437349
16,Madhya Pradesh,Constituency_1,MP_Name_1,MP/918/2021-2022/1007 - Construction of Roads facility,State PWD,09-03-2021,394808
17,Madhya Pradesh,Constituency_1,MP_Name_1,MP/918/2021-2022/1007 - Construction of Roads facility,Rural Works Dept,29-05-2024,107320
18,Uttar Pradesh,Constituency_2,MP_Name_2,UP/432/2021-2022/1008 - Construction of Roads facility,State PWD,29-10-2023,457124
19,Uttar Pradesh,Constituency_2,MP_Name_2,UP/432/2021-2022/1008 - Construction of Roads facility,BuildWell Pvt Ltd,15-06-2024,206931
20,Uttar Pradesh,Constituency_2,MP_Name_2,UP/432/2021-2022/1008 - Construction of Roads facility,National Infra Corp,27-02-2021,386722
21,Uttar Pradesh,Constituency_2,MP_Name_2,UP/750/2021-2022/1009 - Construction of Education facility,XYZ Builders,07-02-2021,278376
22,Uttar Pradesh,Constituency_2,MP_Name_2,UP/587/2023-2024/1010 - Construction of Roads facility,Global Infra Ltd,30-10-2021,362845
23,Uttar Pradesh,Constituency_2,MP_Name_2,UP/587/2023-2024/1010 - Construction of Roads facility,Rural Works Dept,09-12-2023,204426
24,Uttar Pradesh,Constituency_2,MP_Name_2,UP/587/2023-2024/1010 - Construction of Roads facility,National Infra Corp,17-07-2023,355209
25,Uttar Pradesh,Constituency_2,MP_Name_2,UP/393/2022-2023/1011 - Construction of Roads facility,Shree Constructions,18-11-2022,316679
26,Uttar Pradesh,Constituency_2,MP_Name_2,UP/393/2022-2023/1011 - Construction of Roads facility,Rural Works Dept,04-07-2024,233730
27,Uttar Pradesh,Constituency_2,MP_Name_2,UP/393/2022-2023/1011 - Construction of Roads facility,Rural Works Dept,31-01-2022,180280
28,Uttar Pradesh,Constituency_2,MP_Name_2,UP/250/2021-2022/1012 - Construction of Sanitation facility,State PWD,08-06-2021,451454
29,Uttar Pradesh,Constituency_2,MP_Name_2,UP/250/2021-2022/1012 - Construction of Sanitation facility,Shree Constructions,22-03-2022,225841
30,Uttar Pradesh,Constituency_2,MP_Name_2,UP/653/2021-2022/1013 - Construction of Sanitation facility,Shree Constructions,25-02-2023,58154
31,Uttar Pradesh,Constituency_2,MP_Name_2,UP/653/2021-2022/1013 - Construction of Sanitation facility,Shree Constructions,25-06-2022,269485
32,Uttar Pradesh,Constituency_2,MP_Name_2,UP/653/2021-2022/1013 - Construction of Sanitation facility,Global Infra Ltd,12-01-2023,312897
33,Uttar Pradesh,Constituency_2,MP_Name_2,UP/653/2021-2022/1013 - Construction of Sanitation facility,Global Infra Ltd,03-02-2024,130608
34,Uttar Pradesh,Constituency_2,MP_Name_2,UP/371/2023-2024/1014 - Construction of Electricity facility,XYZ Builders,30-03-2021,270683
35,Uttar Pradesh,Constituency_2,MP_Name_2,UP/371/2023-2024/1014 - Construction of Electricity facility,ABC Constructions,21-04-2024,111882
36,Uttar Pradesh,Constituency_2,MP_Name_2,UP/371/2023-2024/1014 - Construction of Electricity facility,ABC Constructions,15-07-2024,174505
37,Uttar Pradesh,Constituency_2,MP_Name_2,UP/590/2022-2023/1015 - Construction of Health facility,ABC Constructions,21-09-2023,340546
38,Uttar Pradesh,Constituency_2,MP_Name_2,UP/590/2022-2023/1015 - Construction of Health facility,State PWD,27-05-2024,172036
39,Uttar Pradesh,Constituency_2,MP_Name_2,UP/590/2022-2023/1015 - Construction of Health facility,BuildWell Pvt Ltd,25-03-2022,368991
40,Uttar Pradesh,Constituency_2,MP_Name_2,UP/590/2022-2023/1015 - Construction of Health facility,Shree Constructions,27-02-2024,98668
41,Karnataka,Constituency_3,MP_Name_3,KA/819/2023-2024/1016 - Construction of Health facility,BuildWell Pvt Ltd,27-04-2022,64311
42,Karnataka,Constituency_3,MP_Name_3,KA/819/2023-2024/1016 - Construction of Health facility,State PWD,04-08-2021,96409
43,Karnataka,Constituency_3,MP_Name_3,KA/386/2021-2022/1017 - Construction of Education facility,National Infra Corp,31-08-2021,235184
44,Karnataka,Constituency_3,MP_Name_3,KA/386/2021-2022/1017 - Construction of Education facility,ABC Constructions,03-04-2024,287381
45,Karnataka,Constituency_3,MP_Name_3,KA/386/2021-2022/1017 - Construction of Education facility,BuildWell Pvt Ltd,11-06-2023,356254
46,Karnataka,Constituency_3,MP_Name_3,KA/524/2022-2023/1018 - Construction of Electricity facility,Rural Works Dept,04-01-2022,310085
47,Karnataka,Constituency_3,MP_Name_3,KA/524/2022-2023/1018 - Construction of Electricity facility,Shree Constructions,29-10-2023,305370
48,Karnataka,Constituency_3,MP_Name_3,KA/524/2022-2023/1018 - Construction of Electricity facility,State PWD,04-11-2024,390314
49,Karnataka,Constituency_3,MP_Name_3,KA/700/2022-2023/1019 - Construction of Roads facility,State PWD,22-05-2021,108567
50,Karnataka,Constituency_3,MP_Name_3,KA/691/2023-2024/1020 - Construction of Sanitation facility,ABC Constructions,25-09-2024,225756
51,Karnataka,Constituency_3,MP_Name_3,KA/582/2021-2022/1021 - Construction of Roads facility,Rural Works Dept,09-03-2024,409088
52,Karnataka,Constituency_3,MP_Name_3,KA/754/2021-2022/1022 - Construction of Electricity facility,XYZ Builders,10-09-2023,228702
53,Karnataka,Constituency_3,MP_Name_3,KA/754/2021-2022/1022 - Construction of Electricity facility,State PWD,23-11-2023,497759
54,Delhi,Constituency_4,MP_Name_4,DL/270/2023-2024/1023 - Construction of Education facility,Rural Works Dept,21-11-2021,109725
55,Delhi,Constituency_4,MP_Name_4,DL/270/2023-2024/1023 - Construction of Education facility,State PWD,18-06-2023,296992
56,Delhi,Constituency_4,MP_Name_4,DL/270/2023-2024/1023 - Construction of Education facility,XYZ Builders,18-01-2023,463462
57,Delhi,Constituency_4,MP_Name_4,DL/638/2023-2024/1024 - Construction of Education facility,XYZ Builders,09-09-2022,362499
58,Delhi,Constituency_4,MP_Name_4,DL/638/2023-2024/1024 - Construction of Education facility,Rural Works Dept,29-03-2022,498760
59,Delhi,Constituency_4,MP_Name_4,DL/203/2023-2024/1025 - Construction of Sanitation facility,ABC Constructions,06-09-2024,317733
60,Delhi,Constituency_4,MP_Name_4,DL/203/2023-2024/1025 - Construction of Sanitation facility,State PWD,11-02-2021,429582
61,Delhi,Constituency_4,MP_Name_4,DL/667/2023-2024/1026 - Construction of Drinking Water facility,Global Infra Ltd,16-08-2022,291322
62,Delhi,Constituency_4,MP_Name_4,DL/667/2023-2024/1026 - Construction of Drinking Water facility,Rural Works Dept,26-10-2022,304409
63,Delhi,Constituency_4,MP_Name_4,DL/667/2023-2024/1026 - Construction of Drinking Water facility,Shree Constructions,13-09-2024,440583
64,Karnataka,Constituency_5,MP_Name_5,KA/711/2023-2024/1027 - Construction of Sanitation facility,XYZ Builders,09-12-2024,247775
65,Karnataka,Constituency_5,MP_Name_5,KA/711/2023-2024/1027 - Construction of Sanitation facility,XYZ Builders,01-08-2021,379210
66,Karnataka,Constituency_5,MP_Name_5,KA/711/2023-2024/1027 - Construction of Sanitation facility,Shree Constructions,19-03-2024,205461
67,Karnataka,Constituency_5,MP_Name_5,KA/711/2023-2024/1027 - Construction of Sanitation facility,State PWD,11-06-2021,167061
68,Karnataka,Constituency_5,MP_Name_5,KA/833/2022-2023/1028 - Construction of Roads facility,State PWD,05-12-2021,335194
69,Karnataka,Constituency_5,MP_Name_5,KA/841/2022-2023/1029 - Construction of Education facility,Global Infra Ltd,24-09-2024,170213
70,Karnataka,Constituency_5,MP_Name_5,KA/841/2022-2023/1029 - Construction of Education facility,Shree Constructions,20-10-2023,57859
71,Karnataka,Constituency_5,MP_Name_5,KA/841/2022-2023/1029 - Construction of Education facility,XYZ Builders,09-03-2023,339730
72,Karnataka,Constituency_5,MP_Name_5,KA/841/2022-2023/1029 - Construction of Education facility,National Infra Corp,22-08-2022,88256
73,West Bengal,Constituency_6,MP_Name_6,WB/718/2023-2024/1030 - Construction of Health facility,National Infra Corp,28-11-2024,285161
74,West Bengal,Constituency_6,MP_Name_6,WB/936/2022-2023/1031 - Construction of Drinking Water facility,Rural Works Dept,23-11-2024,117527
75,West Bengal,Constituency_6,MP_Name_6,WB/936/2022-2023/1031 - Construction of Drinking Water facility,Shree Constructions,21-08-2022,462226
76,West Bengal,Constituency_6,MP_Name_6,WB/992/2022-2023/1032 - Construction of Education facility,National Infra Corp,20-12-2021,191239
77,West Bengal,Constituency_6,MP_Name_6,WB/992/2022-2023/1032 - Construction of Education facility,Rural Works Dept,06-12-2021,345334
78,West Bengal,Constituency_6,MP_Name_6,WB/992/2022-2023/1032 - Construction of Education facility,ABC Constructions,23-09-2021,95440
79,West Bengal,Constituency_6,MP_Name_6,WB/992/2022-2023/1032 - Construction of Education facility,ABC Constructions,08-06-2021,398861
80,West Bengal,Constituency_6,MP_Name_6,WB/585/2022-2023/1033 - Construction of Education facility,Global Infra Ltd,13-10-2021,238153
81,West Bengal,Constituency_6,MP_Name_6,WB/585/2022-2023/1033 - Construction of Education facility,BuildWell Pvt Ltd,08-04-2023,213890
82,West Bengal,Constituency_6,MP_Name_6,WB/471/2023-2024/1034 - Construction of Health facility,Shree Constructions,29-04-2024,332760
83,Madhya Pradesh,Constituency_7,MP_Name_7,MP/355/2023-2024/1035 - Construction of Sanitation facility,XYZ Builders,14-09-2021,479810
84,Madhya Pradesh,Constituency_7,MP_Name_7,MP/355/2023-2024/1035 - Construction of Sanitation facility,Global Infra Ltd,11-02-2022,484450
85,Madhya Pradesh,Constituency_7,MP_Name_7,MP/355/2023-2024/1035 - Construction of Sanitation facility,XYZ Builders,02-11-2023,136579
86,Madhya Pradesh,Constituency_7,MP_Name_7,MP/355/2023-2024/1035 - Construction of Sanitation facility,Global Infra Ltd,11-11-2024,189652
87,Madhya Pradesh,Constituency_7,MP_Name_7,MP/166/2022-2023/1036 - Construction of Roads facility,Rural Works Dept,28-11-2024,148575
88,Madhya Pradesh,Constituency_7,MP_Name_7,MP/736/2023-2024/1037 - Construction of Electricity facility,State PWD,10-10-2024,340273
89,Madhya Pradesh,Constituency_7,MP_Name_7,MP/736/2023-2024/1037 - Construction of Electricity facility,National Infra Corp,09-05-2023,474079
90,Madhya Pradesh,Constituency_7,MP_Name_7,MP/736/2023-2024/1037 - Construction of Electricity facility,XYZ Builders,08-08-2024,417011
91,Madhya Pradesh,Constituency_7,MP_Name_7,MP/736/2023-2024/1037 - Construction of Electricity facility,ABC Constructions,25-01-2021,358562
92,Madhya Pradesh,Constituency_7,MP_Name_7,MP/116/2023-2024/1038 - Construction of Electricity facility,BuildWell Pvt Ltd,05-01-2021,318908
93,Madhya Pradesh,Constituency_7,MP_Name_7,MP/889/2021-2022/1039 - Construction of Electricity facility,BuildWell Pvt Ltd,14-05-2023,442028
94,Madhya Pradesh,Constituency_7,MP_Name_7,MP/889/2021-2022/1039 - Construction of Electricity facility,Rural Works Dept,29-11-2023,251950
95,Madhya Pradesh,Constituency_7,MP_Name_7,MP/889/2021-2022/1039 - Construction of Electricity facility,State PWD,24-04-2023,73036
96,Madhya Pradesh,Constituency_7,MP_Name_7,MP/889/2021-2022/1039 - Construction of Electricity facility,National Infra Corp,16-02-2023,132720
97,Madhya Pradesh,Constituency_7,MP_Name_7,MP/295/2021-2022/1040 - Construction of Electricity facility,National Infra Corp,27-12-2022,461079
