sr_no,state,constituency,mp_name,work,completion_date,work_status
1,Madhya Pradesh,Constituency_371,MP_Name_371,MP/337/2021-2022/3058 - Construction of Health facility,01-03-2021,Completed
2,Uttar Pradesh,Constituency_444,MP_Name_444,UP/590/2022-2023/3471 - Construction of Health facility,02-02-2021,Completed
3,Rajasthan,Constituency_175,MP_Name_175,RJ/839/2023-2024/1982 - Construction of Education facility,26-03-2021,Completed
4,Uttar Pradesh,Constituency_323,MP_Name_323,UP/958/2023-2024/2813 - Construction of Sanitation facility,03-10-2022,Completed
5,Delhi,Constituency_238,MP_Name_238,DL/796/2022-2023/2360 - Construction of Health facility,13-01-2022,Completed
6,Karnataka,Constituency_270,MP_Name_270,KA/472/2022-2023/2521 - Construction of Education facility,03-01-2022,Completed
7,Uttar Pradesh,Constituency_413,MP_Name_413,UP/910/2021-2022/3299 - Construction of Electricity facility,04-03-2021,Completed
8,Rajasthan,Constituency_348,MP_Name_348,RJ/182/2023-2024/2951 - Construction of Drinking Water facility,25-12-2023,Completed
9,Uttar Pradesh,Constituency_2,MP_Name_2,UP/250/2021-2022/1012 - Construction of Sanitation facility,14-12-2023,Completed
10,Bihar,Constituency_325,MP_Name_325,BR/810/2022-2023/2826 - Construction of Sanitation facility,20-10-2022,Completed
11,Delhi,Constituency_485,MP_Name_485,DL/980/2021-2022/3688 - Construction of Sanitation facility,19-09-2023,Completed
12,Rajasthan,Constituency_332,MP_Name_332,RJ/768/2022-2023/2864 - Construction of Health facility,31-12-2023,Completed
13,Karnataka,Constituency_3,MP_Name_3,KA/524/2022-2023/1018 - Construction of Electricity facility,11-01-2024,Completed
14,Maharashtra,Constituency_529,MP_Name_529,MH/459/2023-2024/3947 - Construction of Sanitation facility,19-09-2023,Completed
15,Karnataka,Constituency_37,MP_Name_37,KA/771/2021-2022/1194 - Construction of Sanitation facility,26-03-2024,Completed
16,Gujarat,Constituency_25,MP_Name_25,GJ/295/2022-2023/1131 - Construction of Roads facility,22-10-2021,Completed
17,Uttar Pradesh,Constituency_343,MP_Name_343,UP/227/2022-2023/2926 - Construction of Health facility,25-06-2023,Completed
18,Maharashtra,Constituency_481,MP_Name_481,MH/946/2023-2024/3667 - Construction of Roads facility,05-07-2022,Completed
19,West Bengal,Constituency_120,MP_Name_120,WB/815/2022-2023/1667 - Construction of Drinking Water facility,09-08-2021,Completed
20,Delhi,Constituency_124,MP_Name_124,DL/359/2021-2022/1691 - Construction of Electricity facility,01-04-2022,Completed
21,Bihar,Constituency_65,MP_Name_65,BR/236/2022-2023/1360 - Construction of Education facility,04-03-2021,Completed
22,Uttar Pradesh,Constituency_92,MP_Name_92,UP/659/2022-2023/1511 - Construction of Health facility,02-05-2022,Completed
23,West Bengal,Constituency_419,MP_Name_419,WB/876/2022-2023/3331 - Construction of Electricity facility,11-12-2023,Completed
24,Rajasthan,Constituency_165,MP_Name_165,RJ/618/2023-2024/1921 - Construction of Education facility,26-02-2024,Completed
25,Tamil Nadu,Constituency_191,MP_Name_191,TN/905/2023-2024/2082 - Construction of Electricity facility,01-03-2023,Completed
26,Uttar Pradesh,Constituency_231,MP_Name_231,UP/836/2023-2024/2319 - Construction of Electricity facility,19-08-2022,Completed
27,Madhya Pradesh,Constituency_111,MP_Name_111,MP/525/2022-2023/1615 - Construction of Education facility,18-11-2022,Completed
28,Bihar,Constituency_155,MP_Name_155,BR/400/2021-2022/1860 - Construction of Drinking Water facility,18-07-2024,Completed
29,Maharashtra,Constituency_49,MP_Name_49,MH/617/2023-2024/1269 - Construction of Electricity facility,06-08-2021,Completed
30,Karnataka,Constituency_262,MP_Name_262,KA/391/2023-2024/2479 - Construction of Electricity facility,17-09-2024,Completed
31,Maharashtra,Constituency_218,MP_Name_218,MH/152/2023-2024/2252 - Construction of Drinking Water facility,08-05-2023,Completed
32,Tamil Nadu,Constituency_38,MP_Name_38,TN/799/2023-2024/1205 - Construction of Education facility,17-04-2021,Completed
33,Madhya Pradesh,Constituency_333,MP_Name_333,MP/546/2022-2023/2875 - Construction of Drinking Water facility,13-05-2023,Completed
34,West Bengal,Constituency_285,MP_Name_285,WB/152/2021-2022/2606 - Construction of Electricity facility,12-01-2021,Completed
35,Rajasthan,Constituency_160,MP_Name_160,RJ/974/2023-2024/1889 - Construction of Electricity facility,17-05-2023,Completed
36,Karnataka,Constituency_408,MP_Name_408,KA/900/2023-2024/3279 - Construction of Roads facility,29-06-2021,Completed
37,Rajasthan,Constituency_74,MP_Name_74,RJ/603/2023-2024/1415 - Construction of Electricity facility,12-05-2022,Completed
38,West Bengal,Constituency_395,MP_Name_395,WB/837/2021-2022/3208 - Construction of Education facility,09-01-2023,Completed
39,Rajasthan,Constituency_228,MP_Name_228,RJ/487/2022-2023/2304 - Construction of Sanitation facility,22-10-2022,Completed
40,West Bengal,Constituency_431,MP_Name_431,WB/433/2023-2024/3399 - Construction of Education facility,13-10-2022,Completed
41,Gujarat,Constituency_416,MP_Name_416,GJ/959/2023-2024/3315 - Construction of Roads facility,26-02-2024,Completed
42,Tamil Nadu,Constituency_462,MP_Name_462,TN/783/2021-2022/3565 - Construction of Roads facility,30-09-2024,Completed
43,Tamil Nadu,Constituency_210,MP_Name_210,TN/816/2022-2023/2201 - Construction of Sanitation facility,11-11-2024,Completed
44,Karnataka,Constituency_531,MP_Name_531,KA/973/2022-2023/3955 - Construction of Roads facility,28-02-2023,Completed
45,Tamil Nadu,Constituency_345,MP_Name_345,TN/369/2022-2023/2940 - Construction of Drinking Water facility,10-08-2024,Completed
46,Karnataka,Constituency_262,MP_Name_262,KA/709/2023-2024/2481 - Construction of Sanitation facility,03-12-2021,Completed
47,Tamil Nadu,Constituency_366,MP_Name_366,TN/433/2023-2024/3032 - Construction of Electricity facility,04-04-2023,Completed
48,Karnataka,Constituency_190,MP_Name_190,KA/246/2022-2023/2074 - Construction of Education facility,09-08-2021,Completed
49,Bihar,Constituency_107,MP_Name_107,BR/715/2021-2022/1593 - Construction of Sanitation facility,07-08-2022,Completed
50,Maharashtra,Constituency_288,MP_Name_288,MH/713/2022-2023/2626 - Construction of Roads facility,14-09-2024,Completed
51,Gujarat,Constituency_451,MP_Name_451,GJ/435/2021-2022/3510 - Construction of Drinking Water facility,01-02-2021,Completed
52,Gujarat,Constituency_428,MP_Name_428,GJ/260/2022-2023/3380 - Construction of Electricity facility,11-12-2023,Completed
53,Tamil Nadu,Constituency_97,MP_Name_97,TN/866/2023-2024/1542 - Construction of Roads facility,01-10-2023,Completed
54,Maharashtra,Constituency_515,MP_Name_515,MH/233/2023-2024/3857 - Construction of Education facility,12-09-2024,Completed
55,Bihar,Constituency_286,MP_Name_286,BR/270/2023-2024/2609 - Construction of Drinking Water facility,24-09-2024,Completed
