sr_no,state,constituency,mp_name,work,work_category,recommended_date,recommended_amount
1,Madhya Pradesh,Constituency_1,MP_Name_1,MP/388/2023-2024/1001 - Construction of Roads facility,Education,17-12-2024,1747360
2,Madhya Pradesh,Constituency_1,MP_Name_1,MP/913/2021-2022/1002 - Construction of Roads facility,Education,18-04-2021,702882
3,Madhya Pradesh,Constituency_1,MP_Name_1,MP/875/2022-2023/1003 - Construction of Sanitation facility,Sanitation,19-08-2021,1612630
4,Madhya Pradesh,Constituency_1,MP_Name_1,MP/848/2021-2022/1004 - Construction of Education facility,Electricity,26-10-2024,1024376
5,Madhya Pradesh,Constituency_1,MP_Name_1,MP/230/2022-2023/1005 - Construction of Health facility,Sanitation,10-09-2022,1948955
6,Madhya Pradesh,Constituency_1,MP_Name_1,MP/464/2021-2022/1006 - Construction of Sanitation facility,Health,16-02-2023,808199
7,Madhya Pradesh,Constituency_1,MP_Name_1,MP/918/2021-2022/1007 - Construction of Roads facility,Electricity,27-11-2022,1426772
8,Uttar Pradesh,Constituency_2,MP_Name_2,UP/432/2021-2022/1008 - Construction of Roads facility,Drinking Water,08-08-2024,1751193
9,Uttar Pradesh,Constituency_2,MP_Name_2,UP/750/2021-2022/1009 - Construction of Education facility,Drinking Water,02-08-2024,539500
10,Uttar Pradesh,Constituency_2,MP_Name_2,UP/587/2023-2024/1010 - Construction of Roads facility,Sanitation,29-09-2021,768698
11,Uttar Pradesh,Constituency_2,MP_Name_2,UP/393/2022-2023/1011 - Construction of Roads facility,Drinking Water,09-09-2021,797653
12,Uttar Pradesh,Constituency_2,MP_Name_2,UP/250/2021-2022/1012 - Construction of Sanitation facility,Education,04-10-2021,1351939
13,Uttar Pradesh,Constituency_2,MP_Name_2,UP/653/2021-2022/1013 - Construction of Sanitation facility,Education,25-12-2022,1486602
14,Uttar Pradesh,Constituency_2,MP_Name_2,UP/371/2023-2024/1014 - Construction of Electricity facility,Health,17-12-2024,1256999
15,Uttar Pradesh,Constituency_2,MP_Name_2,UP/590/2022-2023/1015 - Construction of Health facility,Health,08-10-2021,1744862
16,Karnataka,Constituency_3,MP_Name_3,KA/819/2023-2024/1016 - Construction of Health facility,Electricity,13-04-2024,1731758
17,Karnataka,Constituency_3,MP_Name_3,KA/386/2021-2022/1017 - Construction of Education facility,Drinking Water,04-06-2023,1894385
18,Karnataka,Constituency_3,MP_Name_3,KA/524/2022-2023/1018 - Construction of Electricity facility,Electricity,01-01-2023,1924322
19,Karnataka,Constituency_3,MP_Name_3,KA/700/2022-2023/1019 - Construction of Roads facility,Education,15-03-2022,811752
20,Karnataka,Constituency_3,MP_Name_3,KA/691/2023-2024/1020 - Construction of Sanitation facility,Roads,11-09-2024,795034
21,Karnataka,Constituency_3,MP_Name_3,KA/582/2021-2022/1021 - Construction of Roads facility,Education,04-01-2024,1005202
22,Karnataka,Constituency_3,MP_Name_3,KA/754/2021-2022/1022 - Construction of Electricity facility,Drinking Water,20-06-2021,1148688
23,Delhi,Constituency_4,MP_Name_4,DL/270/2023-2024/1023 - Construction of Education facility,Drinking Water,21-12-2024,1556285
24,Delhi,Constituency_4,MP_Name_4,DL/638/2023-2024/1024 - Construction of Education facility,Drinking Water,21-06-2023,701735
25,Delhi,Constituency_4,MP_Name_4,DL/203/2023-2024/1025 - Construction of Sanitation facility,Roads,08-03-2023,508449
26,Delhi,Constituency_4,MP_Name_4,DL/667/2023-2024/1026 - Construction of Drinking Water facility,Drinking Water,17-05-2022,756699
27,Karnataka,Constituency_5,MP_Name_5,KA/711/2023-2024/1027 - Construction of Sanitation facility,Electricity,03-03-2024,1952575
28,Karnataka,Constituency_5,MP_Name_5,KA/833/2022-2023/1028 - Construction of Roads facility,Electricity,25-08-2023,1249870
29,Karnataka,Constituency_5,MP_Name_5,KA/841/2022-2023/1029 - Construction of Education facility,Health,31-01-2022,848795
30,West Bengal,Constituency_6,MP_Name_6,WB/718/2023-2024/1030 - Construction of Health facility,Electricity,12-03-2022,1334155
31,West Bengal,Constituency_6,MP_Name_6,WB/936/2022-2023/1031 - Construction of Drinking Water facility,Roads,20-12-2024,1495759
32,West Bengal,Constituency_6,MP_Name_6,WB/992/2022-2023/1032 - Construction of Education facility,Electricity,04-05-2023,1962166
33,West Bengal,Constituency_6,MP_Name_6,WB/585/2022-2023/1033 - Construction of Education facility,Electricity,03-09-2021,1857016
34,West Bengal,Constituency_6,MP_Name_6,WB/471/2023-2024/1034 - Construction of Health facility,Health,27-12-2024,866371
35,Madhya Pradesh,Constituency_7,MP_Name_7,MP/355/2023-2024/1035 - Construction of Sanitation facility,Electricity,15-08-2022,1885811
36,Madhya Pradesh,Constituency_7,MP_Name_7,MP/166/2022-2023/1036 - Construction of Roads facility,Drinking Water,22-08-2021,1508989
37,Madhya Pradesh,Constituency_7,MP_Name_7,MP/736/2023-2024/1037 - Construction of Electricity facility,Roads,09-04-2023,1565738
38,Madhya Pradesh,Constituency_7,MP_Name_7,MP/116/2023-2024/1038 - Construction of Electricity facility,Education,30-04-2024,1720624
39,Madhya Pradesh,Constituency_7,MP_Name_7,MP/889/2021-2022/1039 - Construction of Electricity facility,Drinking Water,08-03-2023,982384
40,Madhya Pradesh,Constituency_7,MP_Name_7,MP/295/2021-2022/1040 - Construction of Electricity facility,Roads,31-03-2023,699857
41,Maharashtra,Constituency_8,MP_Name_8,MH/429/2021-2022/1041 - Construction of Health facility,Electricity,16-09-2022,1494906
42,Maharashtra,Constituency_8,MP_Name_8,MH/493/2023-2024/1042 - Construction of Roads facility,Sanitation,19-05-2024,1660083
43,Maharashtra,Constituency_8,MP_Name_8,MH/789/2021-2022/1043 - Construction of Roads facility,Sanitation,02-10-2022,1335297
44,Maharashtra,Constituency_8,MP_Name_8,MH/669/2022-2023/1044 - Construction of Education facility,Health,10-02-2022,1758053
45,Maharashtra,Constituency_8,MP_Name_8,MH/209/2022-2023/1045 - Construction of Education facility,Drinking Water,11-08-2023,1797818
46,Maharashtra,Constituency_8,MP_Name_8,MH/295/2023-2024/1046 - Construction of Electricity facility,Health,16-07-2021,1012909
47,Delhi,Constituency_9,MP_Name_9,DL/920/2021-2022/1047 - Construction of Health facility,Health,03-12-2023,517685
48,Delhi,Constituency_9,MP_Name_9,DL/263/2022-2023/1048 - Construction of Health facility,Sanitation,14-11-2021,770379
49,Delhi,Constituency_9,MP_Name_9,DL/155/2021-2022/1049 - Construction of Education facility,Health,11-10-2021,1194244
50,Delhi,Constituency_9,MP_Name_9,DL/437/2021-2022/1050 - Construction of Drinking Water facility,Roads,12-09-2021,955123
51,Delhi,Constituency_9,MP_Name_9,DL/314/2023-2024/1051 - Construction of Roads facility,Sanitation,06-05-2023,949523
52,Delhi,Constituency_10,MP_Name_10,DL/383/2023-2024/1052 - Construction of Health facility,Health,24-04-2021,1804217
53,Delhi,Constituency_10,MP_Name_10,DL/993/2023-2024/1053 - Construction of Roads facility,Roads,22-11-2022,602748
54,Delhi,Constituency_10,MP_Name_10,DL/373/2023-2024/1054 - Construction of Education facility,Health,05-11-2021,790656
55,Delhi,Constituency_10,MP_Name_10,DL/754/2023-2024/1055 - Construction of Roads facility,Health,23-08-2023,1769132
56,Delhi,Constituency_10,MP_Name_10,DL/312/2023-2024/1056 - Construction of Drinking Water facility,Health,05-07-2023,1562550
57,Delhi,Constituency_10,MP_Name_10,DL/932/2023-2024/1057 - Construction of Drinking Water facility,Drinking Water,04-05-2022,1402926
58,Delhi,Constituency_10,MP_Name_10,DL/384/2023-2024/1058 - Construction of Drinking Water facility,Roads,16-11-2024,891988
59,Madhya Pradesh,Constituency_11,MP_Name_11,MP/336/2021-2022/1059 - Construction of Drinking Water facility,Sanitation,16-08-2024,1986897
60,Madhya Pradesh,Constituency_11,MP_Name_11,MP/151/2022-2023/1060 - Construction of Roads facility,Drinking Water,16-05-2023,687737
61,Madhya Pradesh,Constituency_11,MP_Name_11,MP/461/2022-2023/1061 - Construction of Roads facility,Roads,28-03-2024,1738564
62,Delhi,Constituency_12,MP_Name_12,DL/140/2023-2024/1062 - Construction of Electricity facility,Electricity,15-05-2022,506938
63,Delhi,Constituency_12,MP_Name_12,DL/467/2022-2023/1063 - Construction of Sanitation facility,Electricity,23-10-2023,1308251
64,Delhi,Constituency_12,MP_Name_12,DL/438/2021-2022/1064 - Construction of Health facility,Drinking Water,27-05-2022,620591
65,Madhya Pradesh,Constituency_13,MP_Name_13,MP/481/2021-2022/1065 - Construction of Roads facility,Drinking Water,09-09-2021,1335880
66,Madhya Pradesh,Constituency_13,MP_Name_13,MP/991/2023-2024/1066 - Construction of Sanitation facility,Roads,26-12-2024,950585
67,Madhya Pradesh,Constituency_13,MP_Name_13,MP/273/2022-2023/1067 - Construction of Education facility,Education,04-10-2023,1735468
68,Uttar Pradesh,Constituency_14,MP_Name_14,UP/410/2021-2022/1068 - Construction of Drinking Water facility,Education,28-09-2024,659716
69,Uttar Pradesh,Constituency_14,MP_Name_14,UP/532/2023-2024/1069 - Construction of Education facility,Electricity,02-10-2023,1426259
70,Uttar Pradesh,Constituency_14,MP_Name_14,UP/224/2023-2024/1070 - Construction of Education facility,Roads,03-01-2023,1876332
71,Uttar Pradesh,Constituency_14,MP_Name_14,UP/100/2023-2024/1071 - Construction of Drinking Water facility,Drinking Water,06-07-2023,981107
72,Uttar Pradesh,Constituency_14,MP_Name_14,UP/666/2021-2022/1072 - Construction of Drinking Water facility,Sanitation,13-05-2023,980926
73,Uttar Pradesh,Constituency_14,MP_Name_14,UP/119/2022-2023/1073 - Construction of Health facility,Sanitation,31-03-2022,1310204
