sr_no,state,ida,constituency,mp_name,work,work_category,sanction_date,sanction_amount,work_status
1,Maharashtra,District_1,Constituency_2,MP_Name_2,Work_1,Roads,30-03-2023,419995,Sanctioned
2,Uttar Pradesh,District_2,Constituency_3,MP_Name_3,Work_2,Roads,30-03-2021,1512430,Sanctioned
3,Uttar Pradesh,District_3,Constituency_4,MP_Name_4,Work_3,Education,08-03-2021,1450331,Sanctioned
4,Gujarat,District_4,Constituency_5,MP_Name_5,Work_4,Sanitation,18-09-2023,1661071,Sanctioned
5,Karnataka,District_5,Constituency_6,MP_Name_6,Work_5,Roads,03-08-2022,1584481,Sanctioned
6,Karnataka,District_6,Constituency_7,MP_Name_7,Work_6,Roads,27-11-2021,1105863,Sanctioned
7,Uttar Pradesh,District_7,Constituency_8,MP_Name_8,Work_7,Roads,03-10-2023,1850778,Sanctioned
8,Karnataka,District_8,Constituency_9,MP_Name_9,Work_8,Roads,11-11-2021,1420582,Sanctioned
9,Gujarat,District_9,Constituency_10,MP_Name_10,Work_9,Roads,04-06-2023,682625,Sanctioned
10,Uttar Pradesh,District_0,Constituency_11,MP_Name_11,Work_10,Sanitation,30-04-2021,1106009,Sanctioned
11,Delhi,District_1,Constituency_12,MP_Name_12,Work_11,Drinking Water,09-08-2023,998258,Sanctioned
12,Maharashtra,District_2,Constituency_13,MP_Name_13,Work_12,Roads,31-12-2023,1618593,Sanctioned
13,Tamil Nadu,District_3,Constituency_14,MP_Name_14,Work_13,Education,08-12-2021,769471,Sanctioned
14,Gujarat,District_4,Constituency_15,MP_Name_15,Work_14,Sanitation,24-07-2023,1062302,Sanctioned
15,Karnataka,District_5,Constituency_16,MP_Name_16,Work_15,Health,10-04-2023,1201956,Sanctioned
16,Maharashtra,District_6,Constituency_17,MP_Name_17,Work_16,Roads,24-01-2023,1603564,Sanctioned
17,Maharashtra,District_7,Constituency_18,MP_Name_18,Work_17,Health,10-12-2023,1120255,Sanctioned
18,Tamil Nadu,District_8,Constituency_19,MP_Name_19,Work_18,Electricity,15-07-2022,1388686,Sanctioned
19,Karnataka,District_9,Constituency_20,MP_Name_20,Work_19,Sanitation,10-09-2021,1180485,Sanctioned
20,Gujarat,District_0,Constituency_21,MP_Name_21,Work_20,Electricity,07-03-2023,932173,Sanctioned
21,Uttar Pradesh,District_1,Constituency_22,MP_Name_22,Work_21,Health,17-01-2023,488853,Sanctioned
22,Delhi,District_2,Constituency_23,MP_Name_23,Work_22,Roads,10-10-2021,1319355,Sanctioned
23,Uttar Pradesh,District_3,Constituency_24,MP_Name_24,Work_23,Health,09-09-2022,1353989,Sanctioned
24,Delhi,District_4,Constituency_25,MP_Name_25,Work_24,Roads,09-03-2021,646453,Sanctioned
25,Delhi,District_5,Constituency_26,MP_Name_26,Work_25,Electricity,21-10-2021,1428195,Sanctioned
26,Uttar Pradesh,District_6,Constituency_27,MP_Name_27,Work_26,Roads,25-01-2021,960275,Sanctioned
27,Karnataka,District_7,Constituency_28,MP_Name_28,Work_27,Education,11-05-2023,894164,Sanctioned
28,Delhi,District_8,Constituency_29,MP_Name_29,Work_28,Drinking Water,18-03-2023,1874073,Sanctioned
29,Delhi,District_9,Constituency_30,MP_Name_30,Work_29,Electricity,22-04-2023,1446076,Sanctioned
30,Tamil Nadu,District_0,Constituency_31,MP_Name_31,Work_30,Roads,27-01-2023,1149141,Sanctioned
31,Gujarat,District_1,Constituency_32,MP_Name_32,Work_31,Drinking Water,20-11-2022,1555326,Sanctioned
32,Karnataka,District_2,Constituency_33,MP_Name_33,Work_32,Electricity,02-11-2021,565012,Sanctioned
33,Karnataka,District_3,Constituency_34,MP_Name_34,Work_33,Roads,04-04-2023,1273007,Sanctioned
34,Delhi,District_4,Constituency_35,MP_Name_35,Work_34,Electricity,01-10-2023,1562505,Sanctioned
35,Gujarat,District_5,Constituency_36,MP_Name_36,Work_35,Electricity,16-09-2022,548219,Sanctioned
36,Maharashtra,District_6,Constituency_37,MP_Name_37,Work_36,Education,03-02-2021,1443784,Sanctioned
37,Gujarat,District_7,Constituency_38,MP_Name_38,Work_37,Roads,12-08-2022,854549,Sanctioned
38,Maharashtra,District_8,Constituency_39,MP_Name_39,Work_38,Health,06-01-2022,576681,Sanctioned
39,Delhi,District_9,Constituency_40,MP_Name_40,Work_39,Education,21-06-2021,688980,Sanctioned
40,Karnataka,District_0,Constituency_41,MP_Name_41,Work_40,Electricity,22-09-2021,710355,Sanctioned
41,Karnataka,District_1,Constituency_42,MP_Name_42,Work_41,Electricity,05-09-2023,1229086,Sanctioned
42,Delhi,District_2,Constituency_43,MP_Name_43,Work_42,Roads,26-03-2023,1811246,Sanctioned
43,Maharashtra,District_3,Constituency_44,MP_Name_44,Work_43,Roads,10-02-2023,1719483,Sanctioned
44,Delhi,District_4,Constituency_45,MP_Name_45,Work_44,Sanitation,27-02-2023,995222,Sanctioned
45,Tamil Nadu,District_5,Constituency_46,MP_Name_46,Work_45,Electricity,19-11-2021,1740865,Sanctioned
46,Karnataka,District_6,Constituency_47,MP_Name_47,Work_46,Roads,09-08-2023,964876,Sanctioned
47,Tamil Nadu,District_7,Constituency_48,MP_Name_48,Work_47,Roads,23-05-2022,927619,Sanctioned
48,Uttar Pradesh,District_8,Constituency_49,MP_Name_49,Work_48,Drinking Water,22-09-2023,488946,Sanctioned
49,Gujarat,District_9,Constituency_50,MP_Name_50,Work_49,Drinking Water,29-08-2023,1671726,Sanctioned
50,Delhi,District_0,Constituency_51,MP_Name_51,Work_50,Roads,29-10-2021,1424485,Sanctioned
51,Delhi,District_1,Constituency_52,MP_Name_52,Work_51,Roads,15-10-2023,777878,Sanctioned
52,Uttar Pradesh,District_2,Constituency_53,MP_Name_53,Work_52,Roads,26-12-2022,565943,Sanctioned
53,Gujarat,District_3,Constituency_54,MP_Name_54,Work_53,Roads,23-10-2022,672394,Sanctioned
54,Gujarat,District_4,Constituency_55,MP_Name_55,Work_54,Drinking Water,13-10-2021,1005340,Sanctioned
55,Maharashtra,District_5,Constituency_56,MP_Name_56,Work_55,Sanitation,14-11-2021,895533,Sanctioned
56,Uttar Pradesh,District_6,Constituency_57,MP_Name_57,Work_56,Sanitation,22-01-2023,924983,Sanctioned
57,Tamil Nadu,District_7,Constituency_58,MP_Name_58,Work_57,Education,26-11-2021,1370515,Sanctioned
58,Karnataka,District_8,Constituency_59,MP_Name_59,Work_58,Health,04-09-2023,1090858,Sanctioned
59,Gujarat,District_9,Constituency_60,MP_Name_60,Work_59,Health,03-06-2023,578226,Sanctioned
60,Uttar Pradesh,District_0,Constituency_61,MP_Name_61,Work_60,Sanitation,20-11-2022,1221243,Sanctioned
61,Tamil Nadu,District_1,Constituency_62,MP_Name_62,Work_61,Drinking Water,08-05-2023,1263320,Sanctioned
62,Tamil Nadu,District_2,Constituency_63,MP_Name_63,Work_62,Sanitation,23-08-2022,1802754,Sanctioned
63,Tamil Nadu,District_3,Constituency_64,MP_Name_64,Work_63,Roads,09-05-2021,915570,Sanctioned
64,Karnataka,District_4,Constituency_65,MP_Name_65,Work_64,Drinking Water,05-04-2022,484643,Sanctioned
65,Delhi,District_5,Constituency_66,MP_Name_66,Work_65,Roads,11-10-2021,1437316,Sanctioned
66,Tamil Nadu,District_6,Constituency_67,MP_Name_67,Work_66,Health,03-05-2021,1677521,Sanctioned
67,Maharashtra,District_7,Constituency_68,MP_Name_68,Work_67,Health,10-11-2023,514901,Sanctioned
68,Gujarat,District_8,Constituency_69,MP_Name_69,Work_68,Education,07-11-2021,823907,Sanctioned
69,Delhi,District_9,Constituency_70,MP_Name_70,Work_69,Electricity,04-06-2022,898069,Sanctioned
70,Uttar Pradesh,District_0,Constituency_71,MP_Name_71,Work_70,Roads,12-06-2022,1019455,Sanctioned
71,Delhi,District_1,Constituency_72,MP_Name_72,Work_71,Sanitation,15-07-2023,774969,Sanctioned
72,Tamil Nadu,District_2,Constituency_73,MP_Name_73,Work_72,Drinking Water,09-05-2023,1676693,Sanctioned
73,Tamil Nadu,District_3,Constituency_74,MP_Name_74,Work_73,Sanitation,13-11-2023,1597971,Sanctioned
74,Tamil Nadu,District_4,Constituency_75,MP_Name_75,Work_74,Drinking Water,07-01-2022,1864512,Sanctioned
75,Karnataka,District_5,Constituency_76,MP_Name_76,Work_75,Drinking Water,28-09-2021,1712077,Sanctioned
76,Tamil Nadu,District_6,Constituency_77,MP_Name_77,Work_76,Drinking Water,13-11-2023,1583305,Sanctioned
77,Tamil Nadu,District_7,Constituency_78,MP_Name_78,Work_77,Electricity,15-02-2022,1689391,Sanctioned
78,Tamil Nadu,District_8,Constituency_79,MP_Name_79,Work_78,Drinking Water,14-09-2022,1378541,Sanctioned
79,Delhi,District_9,Constituency_80,MP_Name_80,Work_79,Sanitation,05-05-2023,1662764,Sanctioned
80,Gujarat,District_0,Constituency_81,MP_Name_81,Work_80,Health,03-10-2022,1712208,Sanctioned
81,Karnataka,District_1,Constituency_82,MP_Name_82,Work_81,Drinking Water,16-02-2022,404874,Sanctioned
82,Uttar Pradesh,District_2,Constituency_83,MP_Name_83,Work_82,Electricity,03-11-2023,1134975,Sanctioned
83,Maharashtra,District_3,Constituency_84,MP_Name_84,Work_83,Education,18-01-2021,1314301,Sanctioned
84,Karnataka,District_4,Constituency_85,MP_Name_85,Work_84,Sanitation,08-02-2022,661333,Sanctioned
85,Tamil Nadu,District_5,Constituency_86,MP_Name_86,Work_85,Education,30-10-2023,960812,Sanctioned
86,Delhi,District_6,Constituency_87,MP_Name_87,Work_86,Education,15-11-2022,748291,Sanctioned
87,Tamil Nadu,District_7,Constituency_88,MP_Name_88,Work_87,Sanitation,25-07-2021,1520201,Sanctioned
88,Tamil Nadu,District_8,Constituency_89,MP_Name_89,Work_88,Sanitation,17-12-2022,420082,Sanctioned
89,Tamil Nadu,District_9,Constituency_90,MP_Name_90,Work_89,Health,12-06-2023,1528366,Sanctioned
90,Karnataka,District_0,Constituency_91,MP_Name_91,Work_90,Electricity,11-02-2023,1050106,Sanctioned
91,Uttar Pradesh,District_1,Constituency_92,MP_Name_92,Work_91,Health,23-11-2023,754402,Sanctioned
92,Maharashtra,District_2,Constituency_93,MP_Name_93,Work_92,Education,19-09-2021,1436130,Sanctioned
93,Tamil Nadu,District_3,Constituency_94,MP_Name_94,Work_93,Education,13-10-2021,1580855,Sanctioned
94,Delhi,District_4,Constituency_95,MP_Name_95,Work_94,Drinking Water,17-06-2022,1516246,Sanctioned
95,Delhi,District_5,Constituency_96,MP_Name_96,Work_95,Health,29-12-2021,1040820,Sanctioned
96,Delhi,District_6,Constituency_97,MP_Name_97,Work_96,Electricity,19-06-2021,571702,Sanctioned
97,Karnataka,District_7,Constituency_98,MP_Name_98,Work_97,Health,13-08-2023,1420563,Sanctioned
98,Uttar Pradesh,District_8,Constituency_99,MP_Name_99,Work_98,Sanitation,22-06-2022,1745777,Sanctioned
99,Karnataka,District_9,Constituency_100,MP_Name_100,Work_99,Education,04-04-2023,1829713,Sanctioned
100,Karnataka,District_0,Constituency_101,MP_Name_101,Work_100,Sanitation,23-01-2023,1486191,Sanctioned
101,Tamil Nadu,District_1,Constituency_102,MP_Name_102,Work_101,Roads,30-06-2021,1759859,Sanctioned
102,Tamil Nadu,District_2,Constituency_103,MP_Name_103,Work_102,Health,20-01-2021,1109209,Sanctioned
103,Karnataka,District_3,Constituency_104,MP_Name_104,Work_103,Roads,19-06-2023,1831211,Sanctioned
104,Karnataka,District_4,Constituency_105,MP_Name_105,Work_104,Electricity,05-07-2023,1701556,Sanctioned
105,Uttar Pradesh,District_5,Constituency_106,MP_Name_106,Work_105,Sanitation,29-07-2021,1309639,Sanctioned
106,Gujarat,District_6,Constituency_107,MP_Name_107,Work_106,Drinking Water,23-07-2021,1314678,Sanctioned
107,Maharashtra,District_7,Constituency_108,MP_Name_108,Work_107,Education,09-03-2021,1588464,Sanctioned
108,Karnataka,District_8,Constituency_109,MP_Name_109,Work_108,Roads,08-01-2022,1460355,Sanctioned
109,Gujarat,District_9,Constituency_110,MP_Name_110,Work_109,Education,08-01-2023,1230138,Sanctioned
110,Delhi,District_0,Constituency_111,MP_Name_111,Work_110,Roads,18-02-2022,1647878,Sanctioned
111,Maharashtra,District_1,Constituency_112,MP_Name_112,Work_111,Education,21-12-2022,1114091,Sanctioned
112,Uttar Pradesh,District_2,Constituency_113,MP_Name_113,Work_112,Electricity,23-03-2021,1531554,Sanctioned
113,Maharashtra,District_3,Constituency_114,MP_Name_114,Work_113,Education,07-04-2022,1222114,Sanctioned
114,Uttar Pradesh,District_4,Constituency_115,MP_Name_115,Work_114,Electricity,23-08-2022,448503,Sanctioned
115,Delhi,District_5,Constituency_116,MP_Name_116,Work_115,Sanitation,29-11-2021,1091099,Sanctioned
116,Maharashtra,District_6,Constituency_117,MP_Name_117,Work_116,Sanitation,27-02-2022,1045718,Sanctioned
117,Karnataka,District_7,Constituency_118,MP_Name_118,Work_117,Health,22-11-2023,1717734,Sanctioned
118,Gujarat,District_8,Constituency_119,MP_Name_119,Work_118,Drinking Water,06-11-2021,1820750,Sanctioned
119,Delhi,District_9,Constituency_120,MP_Name_120,Work_119,Electricity,26-09-2023,881590,Sanctioned
120,Maharashtra,District_0,Constituency_121,MP_Name_121,Work_120,Electricity,02-05-2023,1339161,Sanctioned
121,Maharashtra,District_1,Constituency_122,MP_Name_122,Work_121,Drinking Water,24-08-2021,548440,Sanctioned
122,Tamil Nadu,District_2,Constituency_123,MP_Name_123,Work_122,Health,20-03-2021,1025387,Sanctioned
123,Tamil Nadu,District_3,Constituency_124,MP_Name_124,Work_123,Drinking Water,01-07-2021,518874,Sanctioned
124,Karnataka,District_4,Constituency_125,MP_Name_125,Work_124,Electricity,21-08-2021,465255,Sanctioned
125,Tamil Nadu,District_5,Constituency_126,MP_Name_126,Work_125,Education,06-06-2023,526171,Sanctioned
126,Delhi,District_6,Constituency_127,MP_Name_127,Work_126,Health,30-11-2023,1455234,Sanctioned
127,Uttar Pradesh,District_7,Constituency_128,MP_Name_128,Work_127,Electricity,26-11-2022,1003984,Sanctioned
128,Maharashtra,District_8,Constituency_129,MP_Name_129,Work_128,Health,31-03-2021,631272,Sanctioned
129,Delhi,District_9,Constituency_130,MP_Name_130,Work_129,Roads,02-06-2022,1617094,Sanctioned
130,Maharashtra,District_0,Constituency_131,MP_Name_131,Work_130,Health,04-07-2021,953902,Sanctioned
131,Karnataka,District_1,Constituency_132,MP_Name_132,Work_131,Electricity,20-02-2023,537496,Sanctioned
132,Uttar Pradesh,District_2,Constituency_133,MP_Name_133,Work_132,Electricity,13-07-2023,1844005,Sanctioned
133,Delhi,District_3,Constituency_134,MP_Name_134,Work_133,Drinking Water,20-04-2021,568462,Sanctioned
134,Delhi,District_4,Constituency_135,MP_Name_135,Work_134,Electricity,05-02-2023,923972,Sanctioned
135,Karnataka,District_5,Constituency_136,MP_Name_136,Work_135,Roads,06-10-2022,1246226,Sanctioned
136,Uttar Pradesh,District_6,Constituency_137,MP_Name_137,Work_136,Education,15-04-2022,509819,Sanctioned
137,Delhi,District_7,Constituency_138,MP_Name_138,Work_137,Education,10-05-2023,1371702,Sanctioned
138,Maharashtra,District_8,Constituency_139,MP_Name_139,Work_138,Electricity,28-04-2021,1610023,Sanctioned
139,Maharashtra,District_9,Constituency_140,MP_Name_140,Work_139,Sanitation,24-05-2021,885673,Sanctioned
140,Uttar Pradesh,District_0,Constituency_141,MP_Name_141,Work_140,Electricity,21-01-2023,709153,Sanctioned
141,Gujarat,District_1,Constituency_142,MP_Name_142,Work_141,Education,21-08-2021,522248,Sanctioned
142,Gujarat,District_2,Constituency_143,MP_Name_143,Work_142,Drinking Water,01-07-2021,1572725,Sanctioned
143,Uttar Pradesh,District_3,Constituency_144,MP_Name_144,Work_143,Education,08-12-2022,1047880,Sanctioned
144,Maharashtra,District_4,Constituency_145,MP_Name_145,Work_144,Electricity,18-03-2022,491411,Sanctioned
145,Karnataka,District_5,Constituency_146,MP_Name_146,Work_145,Education,18-05-2023,813273,Sanctioned
146,Delhi,District_6,Constituency_147,MP_Name_147,Work_146,Electricity,30-08-2023,1012412,Sanctioned
147,Karnataka,District_7,Constituency_148,MP_Name_148,Work_147,Drinking Water,02-08-2021,1462177,Sanctioned
