Sr_No,state,constituency,Hon'ble Members of Parliament,allocated_amount
1,Maharashtra,Constituency_1,MP_Name_1,31540938
2,Karnataka,Constituency_2,MP_Name_2,45727647
3,Delhi,Constituency_3,MP_Name_3,47607939
4,Gujarat,Constituency_4,MP_Name_4,25645247
5,Maharashtra,Constituency_5,MP_Name_5,33375691
6,Uttar Pradesh,Constituency_6,MP_Name_6,35223479
7,Delhi,Constituency_7,MP_Name_7,24278227
8,Tamil Nadu,Constituency_8,MP_Name_8,25856175
9,Delhi,Constituency_9,MP_Name_9,40358059
10,Karnataka,Constituency_10,MP_Name_10,32776048
11,Maharashtra,Constituency_11,MP_Name_11,29684384
12,Maharashtra,Constituency_12,MP_Name_12,31179211
13,Uttar Pradesh,Constituency_13,MP_Name_13,31587038
14,Uttar Pradesh,Constituency_14,MP_Name_14,48177812
15,Karnataka,Constituency_15,MP_Name_15,24504089
16,Karnataka,Constituency_16,MP_Name_16,31241878
17,Tamil Nadu,Constituency_17,MP_Name_17,25804288
18,Delhi,Constituency_18,MP_Name_18,29080028
19,Uttar Pradesh,Constituency_19,MP_Name_19,31296805
20,Karnataka,Constituency_20,MP_Name_20,20687066
21,Uttar Pradesh,Constituency_21,MP_Name_21,23807513
22,Karnataka,Constituency_22,MP_Name_22,24755257
23,Maharashtra,Constituency_23,MP_Name_23,36552899
24,Gujarat,Constituency_24,MP_Name_24,39520596
25,Maharashtra,Constituency_25,MP_Name_25,48629346
26,Uttar Pradesh,Constituency_26,MP_Name_26,31180150
27,Gujarat,Constituency_27,MP_Name_27,49888355
28,Delhi,Constituency_28,MP_Name_28,33497246
29,Tamil Nadu,Constituency_29,MP_Name_29,43839413
30,Gujarat,Constituency_30,MP_Name_30,41941290
31,Maharashtra,Constituency_31,MP_Name_31,44609427
32,Delhi,Constituency_32,MP_Name_32,25982461
33,Maharashtra,Constituency_33,MP_Name_33,46701397
34,Gujarat,Constituency_34,MP_Name_34,32659616
35,Gujarat,Constituency_35,MP_Name_35,42781521
36,Gujarat,Constituency_36,MP_Name_36,41679498
37,Delhi,Constituency_37,MP_Name_37,45400132
38,Delhi,Constituency_38,MP_Name_38,33883030
39,Maharashtra,Constituency_39,MP_Name_39,40064736
40,Maharashtra,Constituency_40,MP_Name_40,21657996
41,Gujarat,Constituency_41,MP_Name_41,22598332
42,Tamil Nadu,Constituency_42,MP_Name_42,29072912
43,Delhi,Constituency_43,MP_Name_43,49259777
44,Karnataka,Constituency_44,MP_Name_44,24600463
45,Maharashtra,Constituency_45,MP_Name_45,38294973
46,Karnataka,Constituency_46,MP_Name_46,49830336
47,Karnataka,Constituency_47,MP_Name_47,26047495
48,Delhi,Constituency_48,MP_Name_48,33631633
49,Tamil Nadu,Constituency_49,MP_Name_49,30358041
50,Uttar Pradesh,Constituency_50,MP_Name_50,24795746
51,Uttar Pradesh,Constituency_51,MP_Name_51,37136342
52,Karnataka,Constituency_52,MP_Name_52,32545393
53,Uttar Pradesh,Constituency_53,MP_Name_53,49216823
54,Uttar Pradesh,Constituency_54,MP_Name_54,42778895
55,Delhi,Constituency_55,MP_Name_55,30151871
56,Uttar Pradesh,Constituency_56,MP_Name_56,44461151
57,Uttar Pradesh,Constituency_57,MP_Name_57,33203285
58,Karnataka,Constituency_58,MP_Name_58,44684036
59,Gujarat,Constituency_59,MP_Name_59,35367346
60,Delhi,Constituency_60,MP_Name_60,28563177
61,Maharashtra,Constituency_61,MP_Name_61,24892241
62,Maharashtra,Constituency_62,MP_Name_62,39583868
63,Delhi,Constituency_63,MP_Name_63,44876472
64,Maharashtra,Constituency_64,MP_Name_64,48726365
65,Karnataka,Constituency_65,MP_Name_65,49105586
66,Karnataka,Constituency_66,MP_Name_66,20980487
67,Karnataka,Constituency_67,MP_Name_67,27932453
68,Maharashtra,Constituency_68,MP_Name_68,31782292
69,Karnataka,Constituency_69,MP_Name_69,32003331
70,Uttar Pradesh,Constituency_70,MP_Name_70,43170428
71,Gujarat,Constituency_71,MP_Name_71,30831633
72,Tamil Nadu,Constituency_72,MP_Name_72,25054066
73,Karnataka,Constituency_73,MP_Name_73,22667998
74,Karnataka,Constituency_74,MP_Name_74,32465728
75,Karnataka,Constituency_75,MP_Name_75,40367560
76,Karnataka,Constituency_76,MP_Name_76,41636503
77,Karnataka,Constituency_77,MP_Name_77,22965891
78,Uttar Pradesh,Constituency_78,MP_Name_78,20783716
79,Karnataka,Constituency_79,MP_Name_79,38647749
80,Gujarat,Constituency_80,MP_Name_80,37705887
81,Maharashtra,Constituency_81,MP_Name_81,20232965
82,Tamil Nadu,Constituency_82,MP_Name_82,47559585
83,Tamil Nadu,Constituency_83,MP_Name_83,26388503
84,Karnataka,Constituency_84,MP_Name_84,30056890
85,Tamil Nadu,Constituency_85,MP_Name_85,20684523
86,Maharashtra,Constituency_86,MP_Name_86,32052534
87,Gujarat,Constituency_87,MP_Name_87,39006351
88,Gujarat,Constituency_88,MP_Name_88,32914515
89,Uttar Pradesh,Constituency_89,MP_Name_89,40920174
90,Maharashtra,Constituency_90,MP_Name_90,21399984
91,Delhi,Constituency_91,MP_Name_91,36943145
92,Gujarat,Constituency_92,MP_Name_92,40165428
93,Tamil Nadu,Constituency_93,MP_Name_93,36165179
94,Karnataka,Constituency_94,MP_Name_94,30246533
95,Delhi,Constituency_95,MP_Name_95,48937424
96,Maharashtra,Constituency_96,MP_Name_96,40620520
97,Gujarat,Constituency_97,MP_Name_97,44045608
98,Uttar Pradesh,Constituency_98,MP_Name_98,32963494
99,Uttar Pradesh,Constituency_99,MP_Name_99,47626893
100,Tamil Nadu,Constituency_100,MP_Name_100,36030756
101,Delhi,Constituency_101,MP_Name_101,24723184
102,Uttar Pradesh,Constituency_102,MP_Name_102,26560471
103,Uttar Pradesh,Constituency_103,MP_Name_103,29005530
104,Tamil Nadu,Constituency_104,MP_Name_104,48145039
105,Uttar Pradesh,Constituency_105,MP_Name_105,46609352
