Sr_No,state,calamity_type,calamity_name,date_of_consent,consent_amount
1,Karnataka,Natural,Flood Relief,18-08-2023,2805834
2,Gujarat,Natural,Flood Relief,08-11-2021,2674218
3,Delhi,Natural,Flood Relief,28-12-2023,1695628
4,Maharashtra,Natural,Flood Relief,29-05-2023,4751130
5,Tamil Nadu,Natural,Flood Relief,29-08-2022,3302912
6,Maharashtra,Natural,Flood Relief,14-12-2021,1877980
7,Gujarat,Natural,Flood Relief,11-10-2021,3986069
8,Gujarat,Natural,Flood Relief,13-03-2021,2616478
9,Delhi,Natural,Flood Relief,26-01-2023,4999234
10,Uttar Pradesh,Natural,Flood Relief,02-08-2021,2573845
11,Gujarat,Natural,Flood Relief,06-08-2022,1906369
12,Delhi,Natural,Flood Relief,05-07-2023,1523619
13,Tamil Nadu,Natural,Flood Relief,11-09-2023,2403194
14,Gujarat,Natural,Flood Relief,30-05-2022,1556447
15,Delhi,Natural,Flood Relief,01-09-2021,1108286
16,Gujarat,Natural,Flood Relief,19-05-2021,4988371
17,Maharashtra,Natural,Flood Relief,05-12-2022,4260705
18,Karnataka,Natural,Flood Relief,19-02-2021,4374662
19,Uttar Pradesh,Natural,Flood Relief,22-06-2022,2695565
