sr_no,state,constituency,mp_name,work,vendor_name,expenditure_date,fund_disbursed_amount
1,West Bengal,Constituency_1,MP_Name_1,WB/887/2023-2024/50001 - Construction of Sanitation facility,Rural Works Dept,11-07-2023,456650
2,West Bengal,Constituency_1,MP_Name_1,WB/887/2023-2024/50001 - Construction of Sanitation facility,Global Infra Ltd,03-09-2024,82562
3,West Bengal,Constituency_1,MP_Name_1,WB/893/2023-2024/50002 - Construction of Education facility,XYZ Builders,14-08-2021,408824
4,West Bengal,Constituency_1,MP_Name_1,WB/604/2022-2023/50003 - Construction of Roads facility,Rural Works Dept,09-06-2024,105481
5,West Bengal,Constituency_1,MP_Name_1,WB/604/2022-2023/50003 - Construction of Roads facility,Global Infra Ltd,08-06-2022,216518
6,West Bengal,Constituency_1,MP_Name_1,WB/604/2022-2023/50003 - Construction of Roads facility,XYZ Builders,10-11-2023,317565
7,Madhya Pradesh,Constituency_2,MP_Name_2,MP/222/2022-2023/50004 - Construction of Education facility,National Infra Corp,08-01-2023,225987
8,Madhya Pradesh,Constituency_2,MP_Name_2,MP/834/2023-2024/50005 - Construction of Electricity facility,ABC Constructions,30-06-2024,492140
9,Madhya Pradesh,Constituency_2,MP_Name_2,MP/834/2023-2024/50005 - Construction of Electricity facility,XYZ Builders,26-11-2022,368727
10,Madhya Pradesh,Constituency_2,MP_Name_2,MP/834/2023-2024/50005 - Construction of Electricity facility,State PWD,19-08-2022,184366
11,Madhya Pradesh,Constituency_2,MP_Name_2,MP/839/2022-2023/50006 - Construction of Health facility,BuildWell Pvt Ltd,24-05-2024,474279
12,Madhya Pradesh,Constituency_2,MP_Name_2,MP/839/2022-2023/50006 - Construction of Health facility,XYZ Builders,18-05-2021,352912
13,Madhya Pradesh,Constituency_2,MP_Name_2,MP/839/2022-2023/50006 - Construction of Health facility,Rural Works Dept,06-05-2023,108864
14,Madhya Pradesh,Constituency_2,MP_Name_2,MP/942/2023-2024/50007 - Construction of Health facility,BuildWell Pvt Ltd,18-10-2022,152046
15,Madhya Pradesh,Constituency_2,MP_Name_2,MP/942/2023-2024/50007 - Construction of Health facility,Global Infra Ltd,28-09-2022,172069
16,West Bengal,Constituency_3,MP_Name_3,WB/668/2022-2023/50008 - Construction of Roads facility,ABC Constructions,27-09-2022,155815
17,West Bengal,Constituency_3,MP_Name_3,WB/668/2022-2023/50008 - Construction of Roads facility,BuildWell Pvt Ltd,14-10-2021,393721
18,West Bengal,Constituency_3,MP_Name_3,WB/936/2023-2024/50009 - Construction of Roads facility,State PWD,19-09-2022,372513
19,West Bengal,Constituency_3,MP_Name_3,WB/936/2023-2024/50009 - Construction of Roads facility,Shree Constructions,30-01-2022,90673
20,West Bengal,Constituency_3,MP_Name_3,WB/936/2023-2024/50009 - Construction of Roads facility,BuildWell Pvt Ltd,09-02-2024,447554
21,West Bengal,Constituency_3,MP_Name_3,WB/517/2023-2024/50010 - Construction of Education facility,BuildWell Pvt Ltd,14-08-2024,159057
22,West Bengal,Constituency_3,MP_Name_3,WB/145/2021-2022/50011 - Construction of Education facility,ABC Constructions,14-03-2022,484536
23,West Bengal,Constituency_3,MP_Name_3,WB/145/2021-2022/50011 - Construction of Education facility,BuildWell Pvt Ltd,06-05-2022,329626
24,West Bengal,Constituency_3,MP_Name_3,WB/145/2021-2022/50011 - Construction of Education facility,ABC Constructions,05-02-2024,229127
25,West Bengal,Constituency_3,MP_Name_3,WB/997/2022-2023/50012 - Construction of Roads facility,National Infra Corp,30-11-2024,363610
26,West Bengal,Constituency_3,MP_Name_3,WB/997/2022-2023/50012 - Construction of Roads facility,Shree Constructions,16-11-2023,144509
27,West Bengal,Constituency_3,MP_Name_3,WB/997/2022-2023/50012 - Construction of Roads facility,XYZ Builders,23-09-2021,110556
28,West Bengal,Constituency_3,MP_Name_3,WB/886/2022-2023/50013 - Construction of Education facility,Global Infra Ltd,06-05-2023,401441
29,West Bengal,Constituency_3,MP_Name_3,WB/886/2022-2023/50013 - Construction of Education facility,Shree Constructions,02-01-2023,468770
30,West Bengal,Constituency_3,MP_Name_3,WB/749/2021-2022/50014 - Construction of Drinking Water facility,State PWD,10-02-2022,362813
31,West Bengal,Constituency_3,MP_Name_3,WB/749/2021-2022/50014 - Construction of Drinking Water facility,XYZ Builders,07-09-2021,100666
32,West Bengal,Constituency_3,MP_Name_3,WB/259/2022-2023/50015 - Construction of Health facility,State PWD,27-08-2023,355519
33,West Bengal,Constituency_3,MP_Name_3,WB/259/2022-2023/50015 - Construction of Health facility,Shree Constructions,12-06-2024,221422
34,West Bengal,Constituency_3,MP_Name_3,WB/259/2022-2023/50015 - Construction of Health facility,National Infra Corp,22-07-2022,286455
35,West Bengal,Constituency_4,MP_Name_4,WB/161/2022-2023/50016 - Construction of Drinking Water facility,State PWD,07-07-2024,119416
36,West Bengal,Constituency_4,MP_Name_4,WB/161/2022-2023/50016 - Construction of Drinking Water facility,National Infra Corp,01-10-2021,496849
37,West Bengal,Constituency_4,MP_Name_4,WB/711/2021-2022/50017 - Construction of Health facility,BuildWell Pvt Ltd,21-08-2022,215369
38,West Bengal,Constituency_4,MP_Name_4,WB/711/2021-2022/50017 - Construction of Health facility,ABC Constructions,25-09-2024,365852
39,West Bengal,Constituency_4,MP_Name_4,WB/711/2021-2022/50017 - Construction of Health facility,XYZ Builders,03-10-2022,101298
40,West Bengal,Constituency_4,MP_Name_4,WB/590/2022-2023/50018 - Construction of Roads facility,Rural Works Dept,18-02-2021,204885
41,West Bengal,Constituency_4,MP_Name_4,WB/590/2022-2023/50018 - Construction of Roads facility,Rural Works Dept,05-06-2023,419602
42,West Bengal,Constituency_4,MP_Name_4,WB/590/2022-2023/50018 - Construction of Roads facility,National Infra Corp,31-01-2022,283710
43,West Bengal,Constituency_4,MP_Name_4,WB/467/2021-2022/50019 - Construction of Electricity facility,ABC Constructions,19-11-2021,125644
44,West Bengal,Constituency_4,MP_Name_4,WB/467/2021-2022/50019 - Construction of Electricity facility,BuildWell Pvt Ltd,21-12-2024,400312
45,West Bengal,Constituency_4,MP_Name_4,WB/467/2021-2022/50019 - Construction of Electricity facility,Rural Works Dept,22-08-2024,183799
46,West Bengal,Constituency_4,MP_Name_4,WB/467/2021-2022/50019 - Construction of Electricity facility,ABC Constructions,04-06-2023,402336
47,West Bengal,Constituency_4,MP_Name_4,WB/913/2023-2024/50020 - Construction of Health facility,Global Infra Ltd,31-05-2023,125885
48,West Bengal,Constituency_4,MP_Name_4,WB/913/2023-2024/50020 - Construction of Health facility,National Infra Corp,07-10-2023,390647
49,West Bengal,Constituency_4,MP_Name_4,WB/913/2023-2024/50020 - Construction of Health facility,Shree Constructions,18-05-2023,187562
50,Karnataka,Constituency_5,MP_Name_5,KA/369/2022-2023/50021 - Construction of Drinking Water facility,XYZ Builders,28-01-2024,188162
51,Karnataka,Constituency_5,MP_Name_5,KA/369/2022-2023/50021 - Construction of Drinking Water facility,ABC Constructions,05-06-2023,284263
