sr_no,state,constituency,mp_name,work,completion_date,work_status
1,Tamil Nadu,Constituency_2,MP_Name_2,Work_1,10-01-2022,Completed
2,Karnataka,Constituency_3,MP_Name_3,Work_2,19-03-2022,Completed
3,Delhi,Constituency_4,MP_Name_4,Work_3,01-12-2021,Completed
4,Gujarat,Constituency_5,MP_Name_5,Work_4,10-03-2022,Completed
5,Delhi,Constituency_6,MP_Name_6,Work_5,16-03-2022,Completed
6,Maharashtra,Constituency_7,MP_Name_7,Work_6,22-09-2021,Completed
7,Karnataka,Constituency_8,MP_Name_8,Work_7,24-05-2021,Completed
8,Tamil Nadu,Constituency_9,MP_Name_9,Work_8,30-08-2021,Completed
9,Delhi,Constituency_10,MP_Name_10,Work_9,26-11-2023,Completed
10,Gujarat,Constituency_11,MP_Name_11,Work_10,07-03-2022,Completed
11,Maharashtra,Constituency_12,MP_Name_12,Work_11,28-05-2022,Completed
12,Gujarat,Constituency_13,MP_Name_13,Work_12,26-06-2021,Completed
13,Maharashtra,Constituency_14,MP_Name_14,Work_13,14-08-2022,Completed
14,Uttar Pradesh,Constituency_15,MP_Name_15,Work_14,25-06-2022,Completed
15,Delhi,Constituency_16,MP_Name_16,Work_15,29-11-2022,Completed
16,Uttar Pradesh,Constituency_17,MP_Name_17,Work_16,08-12-2021,Completed
17,Maharashtra,Constituency_18,MP_Name_18,Work_17,28-07-2022,Completed
18,Tamil Nadu,Constituency_19,MP_Name_19,Work_18,06-08-2022,Completed
19,Delhi,Constituency_20,MP_Name_20,Work_19,23-05-2022,Completed
20,Delhi,Constituency_21,MP_Name_21,Work_20,28-03-2022,Completed
21,Maharashtra,Constituency_22,MP_Name_22,Work_21,07-03-2023,Completed
22,Tamil Nadu,Constituency_23,MP_Name_23,Work_22,02-05-2022,Completed
23,Karnataka,Constituency_24,MP_Name_24,Work_23,13-06-2022,Completed
24,Tamil Nadu,Constituency_25,MP_Name_25,Work_24,07-12-2021,Completed
25,Gujarat,Constituency_26,MP_Name_26,Work_25,04-11-2022,Completed
26,Karnataka,Constituency_27,MP_Name_27,Work_26,07-11-2023,Completed
27,Tamil Nadu,Constituency_28,MP_Name_28,Work_27,06-09-2021,Completed
28,Maharashtra,Constituency_29,MP_Name_29,Work_28,24-09-2023,Completed
29,Uttar Pradesh,Constituency_30,MP_Name_30,Work_29,25-01-2023,Completed
30,Tamil Nadu,Constituency_31,MP_Name_31,Work_30,08-11-2022,Completed
31,Maharashtra,Constituency_32,MP_Name_32,Work_31,29-04-2022,Completed
32,Uttar Pradesh,Constituency_33,MP_Name_33,Work_32,19-07-2022,Completed
33,Tamil Nadu,Constituency_34,MP_Name_34,Work_33,23-12-2023,Completed
34,Uttar Pradesh,Constituency_35,MP_Name_35,Work_34,11-03-2022,Completed
35,Maharashtra,Constituency_36,MP_Name_36,Work_35,25-07-2023,Completed
36,Karnataka,Constituency_37,MP_Name_37,Work_36,21-05-2023,Completed
37,Karnataka,Constituency_38,MP_Name_38,Work_37,29-05-2023,Completed
38,Karnataka,Constituency_39,MP_Name_39,Work_38,11-06-2021,Completed
39,Maharashtra,Constituency_40,MP_Name_40,Work_39,13-11-2022,Completed
40,Tamil Nadu,Constituency_41,MP_Name_41,Work_40,09-02-2023,Completed
41,Delhi,Constituency_42,MP_Name_42,Work_41,10-01-2021,Completed
42,Uttar Pradesh,Constituency_43,MP_Name_43,Work_42,28-08-2023,Completed
43,Tamil Nadu,Constituency_44,MP_Name_44,Work_43,17-04-2023,Completed
44,Tamil Nadu,Constituency_45,MP_Name_45,Work_44,23-07-2023,Completed
45,Tamil Nadu,Constituency_46,MP_Name_46,Work_45,21-05-2021,Completed
46,Delhi,Constituency_47,MP_Name_47,Work_46,13-11-2022,Completed
47,Delhi,Constituency_48,MP_Name_48,Work_47,29-09-2023,Completed
48,Uttar Pradesh,Constituency_49,MP_Name_49,Work_48,26-12-2021,Completed
49,Gujarat,Constituency_50,MP_Name_50,Work_49,26-03-2021,Completed
50,Tamil Nadu,Constituency_51,MP_Name_51,Work_50,11-01-2022,Completed
51,Delhi,Constituency_52,MP_Name_52,Work_51,24-07-2021,Completed
52,Tamil Nadu,Constituency_53,MP_Name_53,Work_52,10-07-2022,Completed
53,Delhi,Constituency_54,MP_Name_54,Work_53,11-03-2022,Completed
54,Karnataka,Constituency_55,MP_Name_55,Work_54,09-12-2021,Completed
55,Maharashtra,Constituency_56,MP_Name_56,Work_55,12-09-2022,Completed
56,Karnataka,Constituency_57,MP_Name_57,Work_56,24-11-2021,Completed
57,Uttar Pradesh,Constituency_58,MP_Name_58,Work_57,22-01-2023,Completed
58,Tamil Nadu,Constituency_59,MP_Name_59,Work_58,05-07-2021,Completed
59,Karnataka,Constituency_60,MP_Name_60,Work_59,23-07-2021,Completed
60,Gujarat,Constituency_61,MP_Name_61,Work_60,12-01-2022,Completed
