sr_no,state,constituency,mp_name,work,work_category,recommended_date,recommended_amount
1,West Bengal,Constituency_1,MP_Name_1,WB/887/2023-2024/50001 - Construction of Sanitation facility,Health,11-12-2023,756947
2,West Bengal,Constituency_1,MP_Name_1,WB/893/2023-2024/50002 - Construction of Education facility,Roads,18-09-2021,1869338
3,West Bengal,Constituency_1,MP_Name_1,WB/604/2022-2023/50003 - Construction of Roads facility,Roads,26-04-2024,1568411
4,Madhya Pradesh,Constituency_2,MP_Name_2,MP/222/2022-2023/50004 - Construction of Education facility,Electricity,18-01-2021,1682102
5,Madhya Pradesh,Constituency_2,MP_Name_2,MP/834/2023-2024/50005 - Construction of Electricity facility,Education,17-05-2021,1233156
6,Madhya Pradesh,Constituency_2,MP_Name_2,MP/839/2022-2023/50006 - Construction of Health facility,Health,07-11-2024,1188863
7,Madhya Pradesh,Constituency_2,MP_Name_2,MP/942/2023-2024/50007 - Construction of Health facility,Electricity,29-10-2021,1640566
8,West Bengal,Constituency_3,MP_Name_3,WB/668/2022-2023/50008 - Construction of Roads facility,Electricity,26-10-2022,635623
9,West Bengal,Constituency_3,MP_Name_3,WB/936/2023-2024/50009 - Construction of Roads facility,Drinking Water,03-01-2022,1846443
10,West Bengal,Constituency_3,MP_Name_3,WB/517/2023-2024/50010 - Construction of Education facility,Drinking Water,21-08-2023,1043014
11,West Bengal,Constituency_3,MP_Name_3,WB/145/2021-2022/50011 - Construction of Education facility,Health,03-04-2022,1477668
12,West Bengal,Constituency_3,MP_Name_3,WB/997/2022-2023/50012 - Construction of Roads facility,Health,19-04-2024,549479
13,West Bengal,Constituency_3,MP_Name_3,WB/886/2022-2023/50013 - Construction of Education facility,Drinking Water,09-12-2023,1568655
14,West Bengal,Constituency_3,MP_Name_3,WB/749/2021-2022/50014 - Construction of Drinking Water facility,Drinking Water,14-05-2024,1328493
15,West Bengal,Constituency_3,MP_Name_3,WB/259/2022-2023/50015 - Construction of Health facility,Drinking Water,26-11-2024,1902455
16,West Bengal,Constituency_4,MP_Name_4,WB/161/2022-2023/50016 - Construction of Drinking Water facility,Sanitation,01-11-2021,600309
17,West Bengal,Constituency_4,MP_Name_4,WB/711/2021-2022/50017 - Construction of Health facility,Roads,30-07-2021,1382013
18,West Bengal,Constituency_4,MP_Name_4,WB/590/2022-2023/50018 - Construction of Roads facility,Sanitation,08-09-2022,1385400
19,West Bengal,Constituency_4,MP_Name_4,WB/467/2021-2022/50019 - Construction of Electricity facility,Electricity,27-12-2024,1179908
20,West Bengal,Constituency_4,MP_Name_4,WB/913/2023-2024/50020 - Construction of Health facility,Education,02-04-2023,742113
21,Karnataka,Constituency_5,MP_Name_5,KA/369/2022-2023/50021 - Construction of Drinking Water facility,Sanitation,23-04-2021,562557
22,Karnataka,Constituency_5,MP_Name_5,KA/112/2022-2023/50022 - Construction of Sanitation facility,Sanitation,14-03-2024,1977178
23,Karnataka,Constituency_5,MP_Name_5,KA/706/2023-2024/50023 - Construction of Drinking Water facility,Education,19-09-2024,1864537
24,Karnataka,Constituency_5,MP_Name_5,KA/938/2021-2022/50024 - Construction of Electricity facility,Roads,03-11-2024,1848946
25,Karnataka,Constituency_5,MP_Name_5,KA/791/2022-2023/50025 - Construction of Education facility,Electricity,01-10-2021,1224053
26,Maharashtra,Constituency_6,MP_Name_6,MH/539/2021-2022/50026 - Construction of Roads facility,Sanitation,01-01-2021,1802533
27,Maharashtra,Constituency_6,MP_Name_6,MH/114/2021-2022/50027 - Construction of Electricity facility,Sanitation,27-10-2023,1709211
28,Maharashtra,Constituency_6,MP_Name_6,MH/252/2022-2023/50028 - Construction of Sanitation facility,Health,08-06-2023,1426998
29,Maharashtra,Constituency_6,MP_Name_6,MH/552/2022-2023/50029 - Construction of Health facility,Sanitation,02-09-2023,1990381
30,Maharashtra,Constituency_6,MP_Name_6,MH/517/2022-2023/50030 - Construction of Health facility,Education,13-11-2024,1044282
31,Karnataka,Constituency_7,MP_Name_7,KA/536/2023-2024/50031 - Construction of Roads facility,Roads,23-04-2021,667647
32,Karnataka,Constituency_7,MP_Name_7,KA/997/2021-2022/50032 - Construction of Education facility,Sanitation,07-01-2023,1962613
33,Karnataka,Constituency_7,MP_Name_7,KA/698/2023-2024/50033 - Construction of Education facility,Drinking Water,08-03-2024,1353326
34,Karnataka,Constituency_7,MP_Name_7,KA/446/2023-2024/50034 - Construction of Roads facility,Sanitation,01-11-2022,1461648
35,Karnataka,Constituency_7,MP_Name_7,KA/593/2021-2022/50035 - Construction of Sanitation facility,Sanitation,13-08-2024,863296
36,Karnataka,Constituency_7,MP_Name_7,KA/759/2023-2024/50036 - Construction of Roads facility,Drinking Water,29-09-2022,1845919
37,Karnataka,Constituency_7,MP_Name_7,KA/553/2022-2023/50037 - Construction of Electricity facility,Roads,01-08-2024,982067
38,Karnataka,Constituency_7,MP_Name_7,KA/989/2022-2023/50038 - Construction of Electricity facility,Drinking Water,07-02-2023,1226173
39,West Bengal,Constituency_8,MP_Name_8,WB/617/2021-2022/50039 - Construction of Sanitation facility,Education,04-03-2023,899593
40,West Bengal,Constituency_8,MP_Name_8,WB/644/2022-2023/50040 - Construction of Sanitation facility,Sanitation,20-08-2021,752574
41,West Bengal,Constituency_8,MP_Name_8,WB/199/2023-2024/50041 - Construction of Roads facility,Drinking Water,22-04-2021,1577110
42,West Bengal,Constituency_8,MP_Name_8,WB/703/2022-2023/50042 - Construction of Education facility,Electricity,09-01-2024,1151722
43,West Bengal,Constituency_8,MP_Name_8,WB/406/2023-2024/50043 - Construction of Electricity facility,Sanitation,21-11-2022,1279170
