sr_no,state,ida,constituency,mp_name,work,work_category,sanction_date,sanction_amount,work_status
1,Tamil Nadu,District_1,Constituency_2,MP_Name_2,Work_1,Health,19-12-2023,1600378,Sanctioned
2,Uttar Pradesh,District_2,Constituency_3,MP_Name_3,Work_2,Education,01-06-2022,1075233,Sanctioned
3,Delhi,District_3,Constituency_4,MP_Name_4,Work_3,Sanitation,03-07-2022,1362079,Sanctioned
4,Delhi,District_4,Constituency_5,MP_Name_5,Work_4,Drinking Water,17-07-2023,1445804,Sanctioned
5,Tamil Nadu,District_5,Constituency_6,MP_Name_6,Work_5,Sanitation,01-12-2022,1886602,Sanctioned
6,Gujarat,District_6,Constituency_7,MP_Name_7,Work_6,Drinking Water,25-06-2023,1732755,Sanctioned
7,Gujarat,District_7,Constituency_8,MP_Name_8,Work_7,Education,28-04-2023,1093523,Sanctioned
8,Uttar Pradesh,District_8,Constituency_9,MP_Name_9,Work_8,Education,28-09-2021,482016,Sanctioned
9,Karnataka,District_9,Constituency_10,MP_Name_10,Work_9,Drinking Water,19-09-2023,669678,Sanctioned
10,Gujarat,District_0,Constituency_11,MP_Name_11,Work_10,Electricity,22-05-2022,749913,Sanctioned
11,Uttar Pradesh,District_1,Constituency_12,MP_Name_12,Work_11,Health,13-02-2023,1718954,Sanctioned
12,Karnataka,District_2,Constituency_13,MP_Name_13,Work_12,Sanitation,21-08-2023,1078548,Sanctioned
13,Karnataka,District_3,Constituency_14,MP_Name_14,Work_13,Education,01-07-2021,1654782,Sanctioned
14,Maharashtra,District_4,Constituency_15,MP_Name_15,Work_14,Electricity,14-08-2021,1722353,Sanctioned
15,Gujarat,District_5,Constituency_16,MP_Name_16,Work_15,Roads,18-08-2022,883357,Sanctioned
16,Uttar Pradesh,District_6,Constituency_17,MP_Name_17,Work_16,Roads,27-02-2021,1712543,Sanctioned
17,Maharashtra,District_7,Constituency_18,MP_Name_18,Work_17,Education,16-09-2022,1466006,Sanctioned
18,Uttar Pradesh,District_8,Constituency_19,MP_Name_19,Work_18,Drinking Water,30-03-2022,823109,Sanctioned
19,Karnataka,District_9,Constituency_20,MP_Name_20,Work_19,Sanitation,30-04-2021,1243062,Sanctioned
20,Maharashtra,District_0,Constituency_21,MP_Name_21,Work_20,Education,12-07-2021,1329009,Sanctioned
21,Tamil Nadu,District_1,Constituency_22,MP_Name_22,Work_21,Sanitation,18-10-2022,1089866,Sanctioned
22,Tamil Nadu,District_2,Constituency_23,MP_Name_23,Work_22,Education,21-06-2022,606083,Sanctioned
23,Delhi,District_3,Constituency_24,MP_Name_24,Work_23,Sanitation,23-02-2022,436838,Sanctioned
24,Karnataka,District_4,Constituency_25,MP_Name_25,Work_24,Education,23-11-2022,1190852,Sanctioned
25,Karnataka,District_5,Constituency_26,MP_Name_26,Work_25,Sanitation,18-06-2021,913298,Sanctioned
26,Karnataka,District_6,Constituency_27,MP_Name_27,Work_26,Roads,12-11-2022,631917,Sanctioned
